n,rtk,p,m,n,hz,t,v,
1,0.29,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.29,1032,1500,1032,9.05109375641,80.9097230792,2.22674341075,
3,0.04,1235,1500,1235,8.93502022696,0.0,0.0,
4,0.1,1215,1500,1215,8.95734570841,0.0,0.0,
5,0.2,1246,1500,1246,8.96387354887,0.0,0.0,
6,0.2,1251,1500,1251,8.94605455119,0.0,0.0,
7,0.12,1262,1500,1262,8.9526423749,0.0,0.0,
8,0.28,1253,1500,1253,8.93064453969,0.0,0.0,
9,0.09,1243,1500,1243,8.98126362402,0.0,0.0,
10,0.06,1249,1500,1249,8.96186249645,0.0,0.0,
11,0.06,1266,1500,1266,8.80235383989,0.0,0.0,
12,0.12,1266,1500,1266,8.88960855918,0.0,0.0,
13,0.2,1253,1500,1253,8.94542491954,0.0,0.0,
14,0.09,1227,1500,1227,8.85707648969,0.0,0.0,
15,0.08,1258,1500,1258,8.80932368032,0.0,0.0,
16,0.08,1275,1500,1275,8.95623634721,0.0,0.0,
17,0.1,1253,1500,1253,8.83485660723,0.0,0.0,
18,0.16,1252,1500,1252,8.97778405649,0.0,0.0,
19,0.02,1254,1500,1254,8.82082860147,0.0,0.0,
20,0.19,1267,1500,1267,7.96247240199,0.0,0.0,
21,0.19,1256,1500,1256,8.79561635103,0.0,0.0,
22,0.06,1247,1500,1247,8.84446965496,0.0,0.0,
23,0.08,1220,1500,1220,8.85214153958,0.0,0.0,
24,0.42,1239,1500,1239,8.98245614035,0.0,0.0,
25,0.29,1252,1500,1252,8.94605455119,0.0,0.0,
26,0.29,1248,1500,1248,8.97520975946,0.0,0.0,
27,0.2,1226,1500,1226,8.83656903043,0.0,0.0,
28,0.06,1196,1500,1196,8.99879853077,0.0,0.0,
29,0.17,1128,1500,1128,8.90559563798,90.0,0.45489516449,
30,0.18,1062,1500,1062,9.09776021309,90.0,0.909793006897,
31,0.74,1098,1500,1098,9.09586616991,90.0,0.909790328979,
32,0.74,1063,1500,1063,9.1304974389,90.0,0.884520160675,
33,0.81,1054,1500,1054,9.13992839383,90.0,1.06142405891,
34,1.23,1029,1500,1029,9.13726028412,90.0,1.0917508049,
