n,rtk,p,m,n,hz,t,v,
1,0.02,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.0,162,250,162,24.5356981989,77.4711873307,1.68585231788,
3,0.0,199,250,199,24.068677409,0.0,0.0,
4,0.02,198,250,198,24.0442556509,0.0,0.0,
5,0.02,199,250,199,23.7135135746,0.0,0.0,
6,0.02,191,250,191,24.0097085156,0.0,0.0,
7,0.01,208,250,208,23.7816825143,0.0,0.0,
8,0.01,198,250,198,23.9595105622,0.0,0.0,
9,0.03,219,250,219,23.7715736616,0.0,0.0,
10,0.03,212,250,212,23.8881427945,0.0,0.0,
11,0.03,203,250,203,24.0095710761,0.0,0.0,
12,0.03,205,250,205,24.0761379944,0.0,0.0,
13,0.03,202,250,202,24.1610156799,0.0,0.0,
14,0.02,197,250,197,24.1727122883,0.0,0.0,
15,0.02,202,250,202,24.0050364571,0.0,0.0,
16,0.02,202,250,202,23.8055735286,0.0,0.0,
17,0.02,190,250,190,24.0928720367,90.0,0.105301071167,
18,0.02,198,250,198,24.2612201456,90.0,0.1755,
19,0.03,200,250,200,24.1387677114,90.0,0.210599464417,
20,0.03,184,250,184,24.3533476168,90.0,0.252720428467,
21,0.03,182,250,182,24.3095915659,90.0,0.262018157959,
22,0.06,178,250,178,24.2424298471,90.0,0.262020166397,
23,0.06,182,250,182,24.0263503102,90.0,0.26325,
24,0.18,193,250,193,24.3214325062,90.0,0.26325,
25,0.18,190,250,190,24.451735516,90.0,0.262018157959,
26,0.18,177,250,177,24.4205574284,90.0,0.26325,
27,0.27,184,250,184,24.4869955105,90.0,0.252720428467,
28,0.27,188,250,188,24.558684209,90.0,0.257369293213,
29,0.3,191,250,191,24.4858518929,90.0,0.252719758987,
30,0.3,194,250,194,24.325523129,90.0,0.214475749969,
31,0.3,188,250,188,24.2424298471,90.0,0.210602142334,
32,0.34,192,250,192,24.1154513989,90.0,0.218349357605,
33,0.34,187,250,187,24.5044489236,90.0,0.210600803375,
34,0.35,180,250,180,24.5585404127,90.0,0.218349357605,
35,0.35,185,250,185,24.5055942789,90.0,0.218350696564,
36,0.35,194,250,194,24.4635726826,90.0,0.210599464417,
37,0.33,176,250,176,24.7036192832,90.0,0.210600133896,
38,0.33,190,250,190,24.5313931114,90.0,0.210602142334,
39,0.32,181,250,181,24.4762782881,90.0,0.210600133896,
40,0.32,188,250,188,24.6092609543,90.0,0.218352035522,
41,0.32,182,250,182,24.6195169196,90.0,0.210601472855,
42,0.3,178,250,178,24.6268891577,90.0,0.218349357605,
43,0.3,188,250,188,24.5857478649,90.0,0.210600803375,
44,0.29,185,250,185,24.4990099473,90.0,0.210600133896,
45,0.29,188,250,188,24.5027310912,90.0,0.210600133896,
46,0.29,188,250,188,24.397971055,90.0,0.210599464417,
47,0.26,188,250,188,24.384212454,90.0,0.210600803375,
48,0.26,183,250,183,24.6008891809,90.0,0.210599464417,
49,0.26,190,250,190,24.660336424,90.0,0.181959136963,
50,0.26,184,250,184,24.3985387533,90.0,0.1755,
51,0.26,179,250,179,24.4433281078,0.0,0.0,
52,0.24,169,250,169,24.6876247094,-90.0,0.262019496918,
53,0.24,187,250,187,24.5863243354,-90.0,0.314425003052,
54,0.09,183,250,183,24.4379162273,-90.0,0.315899866104,
55,0.09,163,250,163,24.6731021501,-90.0,0.436701393127,
56,0.09,168,250,168,24.7199259753,-90.0,0.61425,
57,0.09,176,250,176,24.4266728787,-90.0,0.61425,
58,0.09,179,250,179,24.4110348039,-90.0,0.63179839325,
59,0.38,179,250,179,24.407483488,-90.0,0.737099799159,
60,0.38,177,250,177,24.6500464285,-90.0,0.655050750732,
61,0.38,182,250,182,24.5379948634,-90.0,0.78975,
62,0.71,182,250,182,24.5217838685,-90.0,0.956475803375,
63,0.71,178,250,178,24.5080285147,-90.0,0.884518821716,
64,0.83,168,250,168,24.5451747122,-90.0,0.884520160675,
65,0.83,168,250,168,24.611138168,-90.0,1.06142472839,
66,0.83,180,250,180,24.3587221019,-90.0,1.14075,
67,1.08,170,250,170,24.4141608168,-90.0,0.909793006897,
68,1.08,174,250,174,24.411176878,-90.0,0.94770160675,
69,1.23,168,250,168,24.5712009373,-90.0,1.14101992789,
70,1.23,169,250,169,24.7004187107,-90.0,1.09174946594,
71,1.23,172,250,172,24.8435043742,-90.0,1.053,
72,1.32,177,250,177,24.868840309,-90.0,1.31010083199,
73,1.32,171,250,171,24.9332960808,-90.0,1.5795,
74,1.41,163,250,163,24.9041313874,-90.0,1.46590000513,
75,1.41,160,250,160,24.7954787297,-90.0,1.50132623291,
76,1.41,159,250,159,25.0923035506,-90.0,1.81958601379,
77,1.55,161,250,161,24.9121189803,-86.1859399409,1.89832334071,
78,1.55,159,250,159,25.0143371741,-84.1401875714,1.69791247826,
79,1.8,150,250,150,25.0608191677,-85.0302592719,1.97724418162,
80,1.8,158,250,158,25.0331483139,-90.0,2.20096966553,
81,1.8,163,250,163,25.081499997,-90.0,2.10108066559,
82,2.05,159,250,159,25.1192027597,-90.0,2.18349893188,
83,2.05,163,250,163,25.1743832903,-89.2185077464,2.52829668989,
84,2.31,146,250,146,25.3068336772,-90.0,2.80937075917,
85,2.31,155,250,155,25.1896534121,-89.5018527737,2.56614769109,
86,2.31,150,250,150,25.1654716834,-90.0,2.6325,
87,2.61,156,250,156,25.1573208256,-89.9999880675,2.96595160675,
88,2.61,156,250,156,25.1718148919,-88.2100823991,3.16021851499,
89,2.9,152,250,152,25.5519652996,-87.5997432936,2.89707924037,
90,2.9,155,250,155,25.5356310083,-90.0,3.03527115328,
91,2.9,149,250,149,25.3381742613,-90.0,3.16021851499,
92,3.23,147,250,147,25.3286874604,-86.987200849,3.36856767057,
93,3.23,160,250,160,23.7186093329,-85.7108466712,3.50055770077,
94,3.47,151,250,151,22.9199444803,-85.9143728163,3.67314502966,
95,3.47,151,250,151,24.4104665239,-86.6335407042,3.69695171839,
96,3.47,147,250,147,24.8996960486,-86.6335411539,3.68654449485,
97,3.79,153,250,153,24.8750348427,-86.8201766052,3.79921575804,
98,3.79,151,250,151,24.9881085718,-90.0,3.94534703478,
99,4.03,150,250,150,25.0407703927,-91.0949351533,4.12518340501,
100,4.03,149,250,149,24.8837419018,-91.4881238787,4.10805005618,
101,4.03,164,250,164,24.9669869162,-90.0,4.24569623566,
102,4.32,150,250,150,25.4627708335,-87.6140552389,4.37751011084,
103,4.32,144,250,144,25.4869080678,-86.8201770873,4.55597563149,
104,4.52,143,250,143,25.3614623203,-85.601293405,4.65230756361,
105,4.52,148,250,148,25.3562494332,-85.1859173005,4.75718317648,
106,4.52,140,250,140,25.4835013275,-86.2819800652,4.77170282503,
107,4.79,146,250,146,25.4174054794,-90.0,4.73967121802,
108,4.79,139,250,139,23.6317456025,-91.0050860053,4.91624641191,
109,4.85,146,250,146,24.5289542323,-91.2730429657,4.97838383102,
110,4.85,146,250,146,25.5910968474,-90.0,5.005005311,
111,4.85,135,250,135,25.3338890198,-87.5104480724,5.02040417868,
112,5.01,148,250,148,25.0194104103,-86.385729147,5.00588832029,
113,5.01,148,250,148,25.3068336772,-86.8201617721,5.00867284068,
114,5.16,144,250,144,25.3832569793,-87.5104480724,5.06426144312,
115,5.16,149,250,149,25.367137604,-88.0250659891,5.18022372224,
116,5.16,144,250,144,25.4575162209,-90.0,5.24495031186,
117,5.24,143,250,143,25.7559441934,-91.3639301115,5.35346921398,
118,5.24,151,250,151,25.8771878952,-90.0,5.2767962265,
119,5.1,151,250,151,25.7346103581,-88.6219503858,5.19315596575,
120,5.1,145,250,145,25.7022820305,-87.8789036033,5.107637356,
121,5.1,150,250,150,25.5767399033,-88.958373324,5.09252496312,
122,5.15,160,250,160,25.2633912169,-88.7811435556,5.26573119923,
123,5.15,139,250,139,24.5990135302,-88.4088628495,5.28361661186,
124,5.11,145,250,145,23.7919349258,-87.7169752595,5.3556262764,
125,5.11,146,250,146,25.0463030419,-88.3634258471,5.3556262764,
126,5.11,143,250,143,25.2067597779,-89.0035767976,5.37903213967,
127,5.11,143,250,143,24.6153268308,-89.0451587461,5.27993119394,
128,5.11,148,250,148,24.6760052949,-88.451845994,5.30916671258,
129,5.25,149,250,149,24.1587890378,-90.0,5.43347850037,
130,5.25,146,250,146,24.3665051646,-90.0,5.43772380473,
131,5.25,146,250,146,24.259536245,-88.6980448199,5.46178383868,
132,5.34,149,250,149,24.9494622633,-90.0,5.5598387146,
133,5.34,144,250,144,24.8168984084,-90.0,5.61353495604,
134,5.44,148,250,148,24.8022234049,-88.152389734,5.53103501277,
135,5.44,147,250,147,25.2620217789,-86.905947837,5.53103501277,
136,5.44,151,250,151,24.7972378565,-88.7125065009,5.68739032091,
137,5.62,139,250,139,24.3765597485,-90.0,5.80202957153,
138,5.62,150,250,150,24.6154712928,-90.0,5.89773985501,
139,5.63,153,250,153,24.4888541168,-90.0,6.00462741852,
140,5.63,151,250,151,24.6354233356,-90.0,5.91462035626,
141,5.63,147,250,147,24.8583756104,-90.0,5.9389193573,
142,5.69,151,250,151,24.8868424956,-90.0,5.82409083526,
143,5.69,151,250,151,25.0300111594,-90.0,5.91559420056,
144,5.79,145,250,145,25.5552346658,-90.0,5.94160733024,
145,5.79,135,250,135,25.9436135337,-90.0,6.19228441474,
146,5.79,145,250,145,25.9343094579,-89.1696845137,6.2135932414,
147,5.76,143,250,143,25.571438152,-88.8308587132,6.20492117252,
148,5.76,144,250,144,25.4368279651,-88.8308653481,6.19293170741,
149,5.72,138,250,138,25.3626891935,-89.4713457813,6.0030242561,
150,5.72,157,250,157,25.1882919564,-90.0,6.11380209732,
151,5.72,139,250,139,25.0998114958,-91.1082594006,6.06659601796,
152,5.74,145,250,145,24.7991438589,-90.0,5.96467404661,
153,5.74,148,250,148,24.9146346534,-88.9290745539,5.80280857266,
154,5.89,152,250,152,25.0162766979,-90.0,5.89680040169,
155,5.89,154,250,154,25.1540016192,-91.2188771582,5.91559152353,
156,5.89,146,250,146,25.4633891658,-90.4778567303,6.04060657883,
157,5.93,145,250,145,25.4680276157,-90.0,6.22147479916,
158,5.93,147,250,147,25.2863895052,-90.7821517419,6.28848399353,
159,5.91,141,250,141,25.570814561,-90.824385474,6.31830467281,
160,5.91,158,250,158,25.9107583012,-89.6697673276,6.33215279388,
161,5.91,154,250,154,25.9315836656,-89.3134358765,6.31327348568,
162,6.03,151,250,151,25.9902342298,-90.0,6.2308679271,
163,6.03,150,250,150,26.1787314784,-91.328800938,6.33215413284,
164,6.17,144,250,144,25.9558151912,-91.1782117177,6.50626127467,
165,6.17,146,250,146,26.0682548463,-90.7440592029,6.57193529445,
166,6.17,148,250,148,25.9147605808,-90.0,6.68060575326,
167,6.28,149,250,149,25.8952411528,-90.0,6.7396120813,
168,6.28,146,250,146,25.85055346,-91.3019503218,6.76187630211,
169,6.24,155,250,155,25.7984007873,-91.7628077422,6.73491974757,
170,6.24,139,250,139,25.9759086884,-91.1843331121,6.69946328386,
171,6.24,143,250,143,26.1712174911,-90.0,6.67267056636,
172,6.32,148,250,148,25.2364861613,-91.0637205836,6.81252298737,
173,6.32,138,250,138,25.1344059925,-91.4539022682,6.91681555798,
174,6.38,139,250,139,26.2137446564,-91.0708261511,7.17507293706,
175,6.38,150,250,150,25.9773566208,-90.0,7.1283175667,
176,6.38,146,250,146,26.2432675944,-91.3887675504,7.20266005004,
177,6.44,146,250,146,26.2481945505,-91.5801825719,7.32997094671,
178,6.44,142,250,142,26.1628918068,-91.1813172234,7.3356065351,
179,6.6,146,250,146,26.0444598992,-92.1442375829,7.35942100072,
180,6.6,143,250,143,26.0810605778,-93.1221355649,7.29877493031,
181,6.6,150,250,150,25.9883017746,-92.8866191423,7.22941077384,
182,6.72,141,250,141,25.7771550082,-91.0416223422,7.20886049618,
183,6.72,142,250,142,25.6593560543,-90.674036898,7.20555491066,
184,6.7,157,250,157,25.5415400542,-90.0,7.42390493774,
185,6.7,134,250,134,25.6212676538,-90.0,7.45875,
186,6.7,140,250,140,25.9021175947,-90.2329367313,7.46251381845,
187,6.79,148,250,148,26.0187713628,-91.4719368227,7.64333755497,
188,6.79,143,250,143,25.7057475209,-91.006009809,7.697245794,
189,6.91,147,250,147,25.1286838053,-90.2821187869,7.68715097077,
190,6.91,145,250,145,24.8936369733,-90.8676424121,7.63475429369,
191,6.91,144,250,144,25.6292521371,-92.2906155997,7.64160346025,
192,6.97,151,250,151,25.4536539185,-91.3639330258,7.72361523427,
193,6.97,148,250,148,25.4706568208,-90.9904056997,7.7039681751,
194,7.05,131,250,131,25.6436681116,-91.6365832813,7.81418553817,
195,7.05,138,250,138,25.8859717336,-91.4000043843,7.75244174283,
196,7.05,139,250,139,26.367827798,-91.8240885713,7.98643329101,
197,7.19,137,250,137,26.6709737316,-92.2311785342,8.18107296906,
198,7.19,138,250,138,27.0204539159,-92.2605007462,8.15293094416,
199,7.32,140,250,140,26.9012218196,-90.9568377557,8.31936804918,
200,7.32,134,250,134,27.4634730853,-88.7938176704,8.27383525858,
201,7.32,137,250,137,26.9323145086,-90.0,8.42443910041,
202,7.5,138,250,138,26.9295478039,-92.0454046218,8.51581990327,
203,7.5,135,250,135,27.0753976451,-93.168123346,8.65498688771,
204,7.58,140,250,140,26.5272558234,-92.5831659367,8.52101726379,
205,7.58,145,250,145,26.6908313394,-91.3235756036,8.59480221433,
206,7.58,144,250,144,25.8104662039,-90.8425256555,8.64683040194,
207,7.68,141,250,141,26.1438117084,-91.1691373093,8.76433050728,
208,7.68,147,250,147,26.6667344837,-91.6365813403,8.5934075711,
209,7.74,142,250,142,26.6786077753,-92.0762931456,8.65281104472,
210,7.74,151,250,151,26.6134351939,-92.0454046218,8.74560772733,
211,7.74,141,250,141,26.3937122828,-91.4688045233,8.73772068559,
212,7.76,143,250,143,26.5208819419,-91.4320911367,8.69209171042,
213,7.76,135,250,135,26.3865723848,-91.684687204,8.55390818277,
214,7.99,146,250,146,26.3588796089,-92.5449402497,8.57960414851,
215,7.99,146,250,146,26.656565785,-91.8840453574,8.64246400331,
216,7.99,138,250,138,27.0717277791,-92.8866180437,8.86464642726,
217,8.23,134,250,134,27.140747643,-92.6327814365,9.12903847029,
218,8.23,148,250,148,27.3381696356,-91.8576403005,9.47991798536,
219,8.49,133,250,133,27.8302965961,-91.1553812981,9.60635170479,
220,8.49,145,250,145,28.185632686,-92.2755598057,9.75117388215,
221,8.49,143,250,143,28.3799690103,-92.5791475003,9.85213770759,
222,8.8,135,250,135,28.0426024109,-91.4442247547,10.0500369944,
223,8.8,143,250,143,27.8706110624,-91.7628100838,9.99795553413,
224,8.88,131,250,131,27.8365764953,-91.3251139041,9.82956683939,
225,8.88,147,250,147,27.3419121002,-91.7444368323,9.920602149,
226,8.88,130,250,130,27.6701983085,-92.4628181053,9.83545558831,
227,8.94,135,250,135,27.7362535627,-92.0363618351,9.920602149,
228,8.94,139,250,139,27.7915716936,-92.117356706,10.0535955938,
229,9.08,138,250,138,27.7076702537,-90.7793427743,10.1621731844,
230,9.08,136,250,136,27.6395650741,-90.0,10.3106204719,
