n,rtk,p,m,n,hz,t,v,
1,0.01,0,0,0,59.9451757207,NaN,NaN,
2,0.01,NaN,NaN,NaN,NaN,NaN,NaN,
3,0.01,164,241,164,46.1658283161,0.0,0.0,
4,0.01,112,500,112,29.5813074357,-90.0,21.603437884,
5,0.01,391,500,391,24.8083847919,0.0,0.0,
6,0.01,263,500,263,19.7581707352,0.0,0.0,
7,0.02,397,500,397,19.0588673655,0.0,0.0,
8,0.02,386,500,386,19.2748512212,0.0,0.0,
9,0.02,410,500,410,19.1622229126,0.0,0.0,
10,0.03,392,500,392,19.3192418415,0.0,0.0,
11,0.03,403,500,403,19.2281956421,0.0,0.0,
12,0.03,393,500,393,19.416366153,0.0,0.0,
13,0.03,399,500,399,19.3591898715,0.0,0.0,
14,0.03,397,500,397,19.4382322408,0.0,0.0,
15,0.03,415,500,415,19.4258084237,0.0,0.0,
16,0.03,406,500,406,19.4234694823,0.0,0.0,
17,0.03,397,500,397,19.4088189428,0.0,0.0,
18,0.03,410,500,410,19.4597864868,0.0,0.0,
19,0.03,408,500,408,19.4416560828,0.0,0.0,
20,0.03,397,500,397,19.6332214592,0.0,0.0,
21,0.03,415,500,415,19.5434780583,0.0,0.0,
22,0.05,399,500,399,19.621373303,0.0,0.0,
23,0.05,410,500,410,19.6255047563,0.0,0.0,
24,0.05,424,500,424,19.730844498,0.0,0.0,
25,0.04,402,500,402,19.8605223782,0.0,0.0,
26,0.04,393,500,393,19.8286932637,0.0,0.0,
27,0.04,420,500,420,19.7590084467,0.0,0.0,
28,0.04,397,500,397,19.9892483367,0.0,0.0,
29,0.04,406,500,406,19.8530958455,0.0,0.0,
30,0.03,400,500,400,19.9883909892,0.0,0.0,
31,0.03,411,500,411,19.9060487411,0.0,0.0,
32,0.01,407,500,407,19.9756347305,0.0,0.0,
33,0.01,395,500,395,19.9760152786,0.0,0.0,
34,0.01,404,500,404,19.8574194801,0.0,0.0,
35,0.03,401,500,401,19.9123804822,0.0,0.0,
36,0.03,388,500,388,20.360797868,0.0,0.0,
37,0.02,412,500,412,20.2404354708,0.0,0.0,
38,0.02,391,500,391,20.0783352561,0.0,0.0,
39,0.02,404,500,404,20.0012589293,0.0,0.0,
40,0.02,392,500,392,20.0308703293,0.0,0.0,
41,0.02,412,500,412,19.97002333,0.0,0.0,
42,0.03,396,500,396,20.0008774189,0.0,0.0,
43,0.03,402,500,402,19.9318734793,0.0,0.0,
