n,rtk,p,m,n,hz,t,v,
1,0.0,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.0,523,750,523,16.2077408186,78.690067526,1.83898498039,
3,0.01,630,750,630,15.700829905,0.0,0.0,
4,0.01,621,750,621,15.7801028605,0.0,0.0,
5,0.01,651,750,651,15.8881771589,0.0,0.0,
6,0.02,620,750,620,15.9086061066,0.0,0.0,
7,0.02,631,750,631,15.673020369,0.0,0.0,
8,0.01,631,750,631,15.9616400405,0.0,0.0,
9,0.01,640,750,640,15.9441652538,0.0,0.0,
10,0.01,625,750,625,15.923282221,0.0,0.0,
11,0.01,628,750,628,15.8177731517,0.0,0.0,
12,0.01,630,750,630,15.8435852107,0.0,0.0,
13,0.01,597,750,597,16.0192492046,0.0,0.0,
14,0.01,561,750,561,16.1637063613,90.0,0.126360214233,
15,0.01,580,750,580,15.9603645427,90.0,0.126360214233,
16,0.02,570,750,570,16.1191671214,90.0,0.151633060455,
17,0.02,588,750,588,15.978544435,90.0,0.151634399414,
18,0.09,582,750,582,16.0631757132,90.0,0.151631721497,
19,0.09,581,750,581,15.9482271526,90.0,0.1755,
20,0.09,580,750,580,16.1375866169,90.0,0.151631721497,
21,0.13,577,750,577,16.0130721949,90.0,0.126360214233,
22,0.13,569,750,569,16.2215939636,90.0,0.126360214233,
23,0.13,570,750,570,16.1418097991,90.0,0.126358875275,
24,0.13,571,750,571,16.0942407975,90.0,0.105301071167,
25,0.13,567,750,567,16.1877863244,0.0,0.0,
26,0.16,601,750,601,16.0996771853,0.0,0.0,
27,0.16,585,750,585,15.9899964927,0.0,0.0,
28,0.14,601,750,601,16.0531545186,0.0,0.0,
29,0.14,622,750,622,16.0348658506,0.0,0.0,
30,0.14,615,750,615,16.0346206485,0.0,0.0,
31,0.1,630,750,630,15.9879851034,0.0,0.0,
32,0.1,633,750,633,15.9025744076,0.0,0.0,
33,0.07,630,750,630,15.9846339121,0.0,0.0,
34,0.07,634,750,634,16.0495917102,0.0,0.0,
35,0.07,629,750,629,15.8901635121,0.0,0.0,
36,0.04,614,750,614,16.0061058448,0.0,0.0,
37,0.04,635,750,635,16.079741148,0.0,0.0,
38,0.05,626,750,626,16.031862642,0.0,0.0,
39,0.05,613,750,613,15.9798228403,0.0,0.0,
40,0.05,623,750,623,16.0505743959,0.0,0.0,
41,0.04,613,750,613,16.0084272879,0.0,0.0,
42,0.04,595,750,595,16.1534971674,0.0,0.0,
43,0.05,600,750,600,15.9405900707,0.0,0.0,
44,0.05,613,750,613,16.0498373704,0.0,0.0,
45,0.05,619,750,619,16.0384834522,0.0,0.0,
46,0.04,632,750,632,15.9540507952,0.0,0.0,
47,0.04,618,750,618,15.8952219258,0.0,0.0,
48,0.02,620,750,620,16.0028081099,0.0,0.0,
49,0.02,634,750,634,16.0593624964,0.0,0.0,
50,0.02,618,750,618,15.9700877644,0.0,0.0,
51,0.02,605,750,605,15.9989624696,0.0,0.0,
52,0.02,621,750,621,16.0604078757,0.0,0.0,
53,0.02,603,750,603,15.9987183644,0.0,0.0,
54,0.02,618,750,618,16.1342344872,0.0,0.0,
55,0.02,621,750,621,15.9678382165,0.0,0.0,
56,0.03,618,750,618,15.8634195786,0.0,0.0,
57,0.03,621,750,621,15.9629157422,0.0,0.0,
58,0.03,621,750,621,16.0632372315,0.0,0.0,
59,0.03,621,750,621,15.8848676736,0.0,0.0,
60,0.03,616,750,616,16.0792480027,0.0,0.0,
61,0.02,617,750,617,16.0650214683,0.0,0.0,
62,0.02,619,750,619,16.014600714,0.0,0.0,
63,0.04,621,750,621,15.9596357783,0.0,0.0,
64,0.04,622,750,622,15.9887164591,0.0,0.0,
65,0.04,629,750,629,15.9040819035,0.0,0.0,
66,0.02,636,750,636,16.0534002878,0.0,0.0,
67,0.02,637,750,637,15.8503508818,0.0,0.0,
68,0.02,643,750,643,16.0102604819,0.0,0.0,
69,0.02,617,750,617,15.8937161089,0.0,0.0,
70,0.02,580,750,580,15.9073390703,-90.0,0.1755,
71,0.02,563,750,563,15.8360479955,-90.0,0.303264781952,
72,0.02,558,750,558,15.8581415484,-90.0,0.303263442993,
73,0.09,559,750,559,15.8687611611,-90.0,0.315899866104,
74,0.09,562,750,562,15.764148745,-90.0,0.421198928833,
75,0.09,561,750,561,15.6776484484,-90.0,0.43875,
76,0.19,564,750,564,15.8212934498,-90.0,0.421198928833,
77,0.19,558,750,558,15.874827316,-90.0,0.505439685345,
78,0.3,561,750,561,15.9512597692,-90.0,0.631801071167,
79,0.3,557,750,557,15.8672003269,-90.0,0.737099799156,
80,0.3,551,750,551,15.9212875797,-90.0,0.628848667145,
81,0.49,544,750,544,15.7495278113,-90.0,0.545874732971,
82,0.49,549,750,549,16.0087327911,-90.0,0.758159946442,
83,0.65,559,750,559,15.8656998143,-90.0,0.758159946442,
84,0.65,535,750,535,16.0883143783,-90.0,0.655049411774,
85,0.65,557,750,557,15.7903209412,-90.0,0.758159946442,
86,0.78,551,750,551,16.034375454,-90.0,0.8775,
87,0.78,544,750,544,15.8250541424,-90.0,0.758159946442,
88,0.84,541,750,541,15.9576320195,-90.0,0.786059829712,
89,0.84,547,750,547,15.8914278137,-90.0,0.947699598312,
