n,rtk,p,m,n,hz,t,v,
1,0.06,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.06,466,750,466,17.6388379565,0.0,0.0,
3,0.06,606,750,606,16.9482578179,0.0,0.0,
4,0.06,619,750,619,16.9216592836,0.0,0.0,
5,0.08,622,750,622,16.9236393275,0.0,0.0,
6,0.08,611,750,611,17.1156960042,0.0,0.0,
7,0.03,637,750,637,17.0477293696,0.0,0.0,
8,0.03,623,750,623,17.0412877957,0.0,0.0,
9,0.03,610,750,610,16.82877938,0.0,0.0,
10,0.02,639,750,639,17.1473939404,0.0,0.0,
11,0.02,560,750,560,17.2500041127,0.0,0.0,
12,0.06,551,750,551,17.1344346945,90.0,0.126360214233,
13,0.06,556,750,556,17.4206657086,90.0,0.151631721497,
14,0.06,581,750,581,17.3970376577,90.0,0.1755,
15,0.06,566,750,566,17.2170779064,90.0,0.1755,
16,0.06,582,750,582,17.3502604005,90.0,0.181959136963,
17,0.11,576,750,576,17.1450107711,90.0,0.210599464417,
18,0.11,557,750,557,17.2846234047,90.0,0.181959136963,
19,0.11,560,750,560,17.3382111603,90.0,0.210602142334,
20,0.18,547,750,547,17.3466008255,90.0,0.210599464417,
21,0.18,554,750,554,17.4067123453,90.0,0.181959136963,
22,0.19,586,750,586,17.2887557038,90.0,0.181959136963,
23,0.19,558,750,558,17.6763035013,90.0,0.151631721497,
24,0.19,578,750,578,17.3493991851,90.0,0.151631721497,
25,0.23,551,750,551,17.4895295599,90.0,0.126360214233,
26,0.23,552,750,552,17.5276079516,90.0,0.126360214233,
27,0.18,571,750,571,17.5509312534,0.0,0.0,
28,0.18,590,750,590,17.3828339343,0.0,0.0,
29,0.18,608,750,608,17.4376857869,0.0,0.0,
30,0.13,618,750,618,17.2824867836,0.0,0.0,
31,0.13,629,750,629,17.0955348591,0.0,0.0,
32,0.1,602,750,602,17.2494365757,0.0,0.0,
33,0.1,619,750,619,17.3710271936,0.0,0.0,
34,0.1,623,750,623,17.4222576679,0.0,0.0,
35,0.03,636,750,636,17.378944577,0.0,0.0,
36,0.03,606,750,606,17.5487282906,0.0,0.0,
37,0.02,610,750,610,17.5583519621,0.0,0.0,
38,0.02,613,750,613,17.4751744683,0.0,0.0,
39,0.02,604,750,604,17.5488017138,0.0,0.0,
40,0.02,627,750,627,17.403101129,0.0,0.0,
41,0.02,620,750,620,17.4203762927,0.0,0.0,
42,0.03,615,750,615,17.5414624354,0.0,0.0,
43,0.03,625,750,625,17.2858343911,0.0,0.0,
44,0.03,627,750,627,17.2857631519,0.0,0.0,
45,0.03,632,750,632,17.4054843636,0.0,0.0,
46,0.03,610,750,610,17.5392618488,0.0,0.0,
