n,rtk,p,m,n,hz,t,v,
1,0.05,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.04,29,500,29,25.0986099226,75.9637565321,1.80901259324,
3,0.04,381,500,381,22.8258957726,0.0,0.0,
4,0.03,390,500,390,22.6372845863,0.0,0.0,
5,0.03,400,500,400,22.519027575,0.0,0.0,
6,0.03,391,500,391,22.4260752401,0.0,0.0,
7,0.03,397,500,397,22.458256586,0.0,0.0,
8,0.03,401,500,401,22.4476793972,0.0,0.0,
9,0.02,402,500,402,22.4164867349,0.0,0.0,
10,0.02,388,500,388,22.4911334302,0.0,0.0,
11,0.02,414,500,414,22.2197123407,0.0,0.0,
12,0.02,379,500,379,22.351859056,0.0,0.0,
13,0.02,418,500,418,22.2543733519,0.0,0.0,
14,0.03,406,500,406,22.2776591563,0.0,0.0,
15,0.03,402,500,402,22.3935077416,0.0,0.0,
16,0.03,387,500,387,22.4865514006,0.0,0.0,
17,0.02,426,500,426,22.3069240056,0.0,0.0,
18,0.02,417,500,417,22.4260752401,0.0,0.0,
19,0.02,420,500,420,22.319981694,0.0,0.0,
20,0.02,380,500,380,22.5974031572,0.0,0.0,
21,0.02,378,500,378,22.7360660892,0.0,0.0,
22,0.02,423,500,423,22.3593658375,0.0,0.0,
23,0.02,388,500,388,22.6474298056,0.0,0.0,
24,0.04,348,500,348,23.0467660489,0.0,0.0,
25,0.04,408,500,408,22.6808632596,0.0,0.0,
26,0.04,392,500,392,22.8009545917,0.0,0.0,
27,0.04,361,500,361,22.8885505514,0.0,0.0,
28,0.04,367,500,367,23.0207083541,0.0,0.0,
29,0.04,381,500,381,22.8932978915,0.0,0.0,
30,0.04,401,500,401,22.7858427271,0.0,0.0,
31,0.04,395,500,395,22.8806842978,0.0,0.0,
32,0.05,349,500,349,23.2600791917,0.0,0.0,
33,0.05,414,500,414,22.8813084061,0.0,0.0,
34,0.01,376,500,376,23.0802467437,0.0,0.0,
35,0.01,376,500,376,23.1862727755,0.0,0.0,
36,0.01,393,500,393,23.276343537,0.0,0.0,
37,0.01,395,500,395,23.253631384,0.0,0.0,
38,0.01,395,500,395,23.1889647547,0.0,0.0,
39,0.0,397,500,397,23.1235094025,0.0,0.0,
40,0.0,400,500,400,23.1283547194,0.0,0.0,
41,0.0,385,500,385,23.0962604831,0.0,0.0,
42,0.01,406,500,406,22.9779550335,0.0,0.0,
43,0.01,395,500,395,22.7790365503,0.0,0.0,
44,0.02,401,500,401,22.697801276,0.0,0.0,
45,0.02,395,500,395,22.7480271828,0.0,0.0,
46,0.02,407,500,407,22.827883485,0.0,0.0,
47,0.01,408,500,408,22.9546904844,0.0,0.0,
48,0.01,408,500,408,22.7464234194,0.0,0.0,
49,0.01,404,500,404,22.7448198821,0.0,0.0,
50,0.01,416,500,416,22.7759441775,0.0,0.0,
51,0.01,379,500,379,23.1086036671,0.0,0.0,
52,0.01,395,500,395,23.0615920912,0.0,0.0,
53,0.01,403,500,403,22.8979221942,0.0,0.0,
54,0.03,392,500,392,22.9248301532,0.0,0.0,
55,0.03,391,500,391,22.9822358111,0.0,0.0,
56,0.03,386,500,386,23.0989316004,0.0,0.0,
57,0.03,395,500,395,22.7961215705,0.0,0.0,
58,0.03,395,500,395,23.0643820249,0.0,0.0,
59,0.01,406,500,406,23.1240193403,0.0,0.0,
60,0.01,404,500,404,23.1632242815,0.0,0.0,
61,0.01,401,500,401,23.1117870387,0.0,0.0,
62,0.01,399,500,399,22.9858883232,0.0,0.0,
63,0.01,389,500,389,23.0520860241,0.0,0.0,
64,0.02,346,500,346,23.3421486132,0.0,0.0,
65,0.02,392,500,392,23.144435309,0.0,0.0,
66,0.02,402,500,402,23.208853475,0.0,0.0,
67,0.01,372,500,372,23.4361865595,0.0,0.0,
68,0.01,355,500,355,23.3535857461,0.0,0.0,
69,0.03,372,500,372,23.218617834,0.0,0.0,
70,0.03,375,500,375,23.2893972626,0.0,0.0,
71,0.03,352,500,352,23.4308187344,0.0,0.0,
72,0.02,370,500,370,23.2899145432,0.0,0.0,
73,0.02,351,500,351,23.2250462363,0.0,0.0,
74,0.04,357,500,357,23.3274787126,0.0,0.0,
75,0.04,359,500,359,23.3213825008,0.0,0.0,
76,0.04,352,500,352,23.584440121,0.0,0.0,
77,0.05,328,500,328,23.7807386576,0.0,0.0,
78,0.05,367,500,367,23.5134404835,0.0,0.0,
79,0.06,370,500,370,23.4675260731,0.0,0.0,
80,0.06,332,500,332,23.5105408602,0.0,0.0,
81,0.06,355,500,355,23.3973580864,0.0,0.0,
82,0.05,355,500,355,23.3699811672,0.0,0.0,
83,0.05,348,500,348,23.4340915059,0.0,0.0,
84,0.06,324,500,324,23.6708222108,0.0,0.0,
85,0.06,334,500,334,23.606076126,0.0,0.0,
86,0.06,355,500,355,23.4968432257,0.0,0.0,
87,0.05,367,500,367,23.5073784503,0.0,0.0,
88,0.05,349,500,349,23.6366730723,0.0,0.0,
89,0.06,359,500,359,23.4802693821,0.0,0.0,
90,0.06,371,500,371,23.48750112,0.0,0.0,
91,0.06,389,500,389,23.4136843457,0.0,0.0,
92,0.06,362,500,362,23.4775093478,0.0,0.0,
93,0.06,349,500,349,23.5983728768,0.0,0.0,
94,0.07,348,500,348,23.6305473394,0.0,0.0,
95,0.07,367,500,367,23.5771485747,0.0,0.0,
96,0.07,399,500,399,23.3160671303,0.0,0.0,
97,0.07,397,500,397,23.3824883765,0.0,0.0,
98,0.07,384,500,384,23.4028411691,0.0,0.0,
99,0.04,369,500,369,23.5681398028,0.0,0.0,
100,0.04,360,500,360,23.5216159985,0.0,0.0,
101,0.04,372,500,372,23.3989244193,0.0,0.0,
102,0.04,378,500,378,23.4582072607,0.0,0.0,
103,0.04,382,500,382,23.4604378517,0.0,0.0,
104,0.01,394,500,394,23.3317609363,0.0,0.0,
105,0.01,394,500,394,23.2498932933,0.0,0.0,
106,0.01,326,500,326,23.6478673921,0.0,0.0,
107,0.02,275,500,275,23.9755346088,-90.0,0.3790806427,
108,0.02,262,500,262,24.0027011096,-90.0,0.631799732208,
109,0.08,289,500,289,23.5365311665,-90.0,0.631799732208,
110,0.08,274,500,274,23.7710347642,-90.0,0.702,
111,0.08,271,500,271,23.8539068321,-90.0,0.884520160675,
112,0.21,262,500,262,23.4361865595,-90.0,0.884520160675,
113,0.21,257,500,257,23.6653463782,-90.0,0.909791667938,
114,0.64,210,500,210,24.0464612298,-90.0,1.26359946442,
115,0.64,188,500,188,24.1767530334,-90.0,1.52810458468,
116,0.64,174,500,174,24.243550839,-90.0,1.5795,
117,0.97,200,500,200,24.1476619803,-90.0,1.76903965187,
118,0.97,228,500,228,23.9080229145,-90.0,2.00069892883,
119,1.52,236,500,236,23.7017212735,-90.0,2.00070026779,
120,1.52,212,500,212,23.8817500626,-90.0,2.09797879809,
121,1.52,188,500,188,24.0598412189,-93.5763265004,2.43084676223,
122,2.04,158,500,158,24.1661663623,-93.8140748343,2.72590541151,
123,2.04,145,500,145,24.2942437126,-92.7263151147,2.6383435144,
124,2.48,158,500,158,24.2535041865,-91.847610266,2.73982402524,
125,2.48,165,500,165,24.1458548015,-90.0,2.9835,
126,2.48,149,500,149,24.2212905536,-90.0,3.07125,
127,3.07,119,500,119,24.3884660336,-90.0,3.27525141048,
128,3.07,135,500,135,24.2371065512,-90.0,3.48753762817,
129,3.45,103,500,103,24.5428767035,-92.7927023657,3.60202794444,
130,3.45,81,500,81,24.5362723247,-93.270479624,3.69151220835,
131,3.45,85,500,85,24.7445723995,-92.6630007661,3.84505185183,
