n,rtk,p,m,n,hz,t,v,
1,0.01,NaN,NaN,NaN,NaN,NaN,NaN,
2,0.01,3,490,3,44.736856701,-89.9540924557,37.8473666904,
3,0.01,297,489,297,32.7600659215,0.0,0.0,
4,0.02,4,500,4,30.8345757429,-90.0,0.126357536316,
5,0.02,371,500,371,27.5913824294,0.0,0.0,
6,0.02,49,500,49,26.6240780002,0.0,0.0,
7,0.02,429,500,429,24.0442556509,0.0,0.0,
8,0.02,397,500,397,24.2389274156,0.0,0.0,
9,0.04,419,500,419,24.0448070077,0.0,0.0,
10,0.04,424,500,424,23.990070638,0.0,0.0,
11,0.04,437,500,437,23.9370855258,0.0,0.0,
12,0.04,419,500,419,24.1045027442,0.0,0.0,
13,0.04,436,500,436,23.8412969089,0.0,0.0,
14,0.03,413,500,413,23.9519852895,0.0,0.0,
15,0.03,446,500,446,23.9555421019,0.0,0.0,
16,0.03,405,500,405,23.9286186988,0.0,0.0,
17,0.01,423,500,423,24.0988244487,0.0,0.0,
18,0.01,404,500,404,24.1535024071,0.0,0.0,
19,0.0,421,500,421,24.1166993451,0.0,0.0,
20,0.0,398,500,398,24.2665540404,0.0,0.0,
21,0.0,411,500,411,24.1487742248,0.0,0.0,
22,0.01,424,500,424,24.0790405824,0.0,0.0,
23,0.01,395,500,395,24.2936808572,0.0,0.0,
24,0.0,396,500,396,24.3570246398,0.0,0.0,
25,0.0,399,500,399,24.199629589,0.0,0.0,
26,0.0,404,500,404,24.3670713995,0.0,0.0,
27,0.04,391,500,391,24.4510227995,0.0,0.0,
28,0.04,399,500,399,24.325523129,0.0,0.0,
29,0.03,400,500,400,24.4343570863,0.0,0.0,
30,0.03,366,500,366,24.559115608,0.0,0.0,
31,0.03,358,500,358,24.7591792402,-90.0,0.26325,
32,0.03,330,500,330,24.865744199,-90.0,0.61425,
33,0.03,307,500,307,24.9016178348,-90.0,0.655050081253,
34,0.02,292,500,292,25.1142393524,-90.0,0.63179839325,
35,0.02,288,500,288,25.0294136954,-90.0,0.758158607483,
36,0.02,266,500,266,25.4115537245,-90.0,1.04808066559,
37,0.33,245,500,245,25.4739054121,-90.0,1.24309732819,
38,0.33,231,500,231,25.3498129423,-90.0,1.04808200455,
39,0.58,222,500,222,25.2328424295,-90.0,1.15830107117,
40,0.58,211,500,211,25.3975512577,-90.0,1.51631989288,
41,0.58,182,500,182,25.4725130572,-90.0,1.57211965942,
42,0.89,176,500,176,25.7898348439,-82.4053566314,1.32803441492,
43,0.89,143,500,143,25.8384505446,-84.2893901648,1.64770341076,
44,1.31,115,500,115,26.017964369,-85.0302592719,2.02649683026,
45,1.31,136,500,136,25.6021876869,-84.2894172986,1.85108827788,
46,1.31,120,500,120,25.7526232739,-86.5286209585,1.89960778995,
47,1.61,102,500,102,25.6956686884,-90.0,2.40338972655,
48,1.61,114,500,114,25.475762122,-87.5104216474,2.52939311083,
49,2.01,105,500,105,25.6991323955,-84.4840571047,2.55833014386,
50,2.01,79,500,79,25.6865415707,-84.8055611393,2.90769128777,
51,2.01,77,500,77,25.5605296996,-85.9617499232,3.29506591015,
52,2.49,59,500,59,25.5754922346,-87.9545953782,3.37617443462,
53,2.49,51,500,51,25.2187329016,-90.0,3.16075445924,
54,3.02,30,500,30,25.4362109221,-91.5696489851,3.16075471573,
55,3.02,66,500,66,24.8108795571,-91.6847016344,3.68654449485,
56,3.02,63,500,63,24.4205574284,-92.6025622025,3.90178865809,
57,3.58,86,500,86,24.216116349,-90.0,3.91919748797,
58,3.58,111,500,111,23.9447381341,-88.4925491155,4.0454953988,
59,4.2,123,500,123,23.6883351594,-88.5678892539,4.12518340501,
60,4.2,118,500,118,23.8423811094,-91.4321106324,4.21331600424,
61,4.2,96,500,96,24.2872098948,-94.2364055839,4.46204268855,
62,4.56,120,500,120,24.2853817693,-93.8140923049,4.53890696187,
63,4.56,88,500,88,24.7181778,-91.3639067895,4.55148616794,
64,4.97,97,500,97,24.7053653997,-90.0,4.563,
65,4.97,82,500,82,24.7090039352,-90.0,4.73931243035,
66,4.97,75,500,75,24.8379138612,-89.0122396004,5.0061517626,
67,5.21,76,500,76,24.7292537542,-88.602816446,5.15771729577,
68,5.21,79,500,79,24.4635726826,-88.6028160851,5.18022372224,
69,5.51,59,500,59,24.8763626443,-91.3639295955,5.3592194511,
70,5.51,35,500,35,25.231628086,-94.6858998395,5.47371087831,
71,5.51,50,500,50,25.3124845354,-94.3987156887,5.49177816001,
72,5.86,34,500,34,25.2390677747,-92.8624052261,5.31313405026,
73,5.86,36,500,36,24.7935732906,-91.1017174273,5.52894638471,
74,6.12,31,500,31,24.8713472486,-90.9240453528,5.58189319417,
75,6.12,49,500,49,24.8973311805,-90.0,5.6114084221,
76,6.12,26,500,26,25.2556330311,-90.0,5.70375,
77,5.96,54,500,54,25.5291031376,-90.916712901,5.61455934189,
78,5.96,54,500,54,25.4536539185,-91.5074329577,5.61874151835,
79,6.05,57,500,57,25.6042194453,-90.8951737102,5.61668550504,
80,6.05,41,500,41,26.2170217022,-90.0,5.61038440704,
81,6.05,55,500,55,26.4166524957,-90.8680514497,5.70442496006,
82,6.04,44,500,44,26.7364287718,-91.0512797249,5.76301353115,
83,6.04,44,500,44,27.3358533851,-91.2453401767,5.79245716442,
84,5.95,27,500,27,28.0724449501,-92.0454038484,5.94429385158,
85,5.95,8,500,8,28.949393998,-92.5637702115,5.97119224343,
86,5.95,12,500,12,29.244087461,-92.5637702115,5.95569763839,
87,6.03,11,500,11,29.736292095,-93.3177811683,6.06491537967,
88,6.03,6,500,6,30.5082447756,-91.6365770416,8.6012906299,
89,6.13,1,500,1,30.8565795378,-93.7429979212,9.36536288614,
90,6.13,4,500,4,31.0461513409,-94.085619158,9.19407007344,
91,6.13,14,500,14,31.0415559618,-91.6135389329,6.23272134083,
92,6.44,15,500,15,30.2929697092,-90.784824603,6.44559892287,
93,6.44,17,500,17,29.2013311611,-90.0,6.31888013447,
94,6.7,28,500,28,29.6032297225,-91.7404820773,6.41115696462,
95,6.7,17,500,17,29.716909212,-93.9182488641,8.8263090716,
96,6.7,4,500,4,29.5700457548,-93.1984514513,9.41736964543,
97,6.57,5,500,5,30.147737646,-92.3373016517,9.17444822466,
98,6.57,11,500,11,29.9813720094,-90.447613368,9.7047437329,
99,6.66,8,500,8,29.5823506178,-88.9290818045,9.62770034823,
100,6.66,10,500,10,29.6647853455,-91.7899077518,9.8247224545,
101,6.66,3,500,3,29.7114360195,-93.8140730206,9.84756669013,
102,6.6,7,500,7,29.6549276356,-94.2627752844,10.2653033016,
103,6.6,3,500,3,29.6092901768,-93.9782829562,8.49911527893,
104,6.55,4,500,4,28.8625378475,-94.513988458,6.69722808799,
105,6.55,5,500,5,29.0444152067,-94.236387476,9.14232159734,
106,6.55,3,500,3,28.8268316151,-94.2891496894,10.4900282273,
107,6.69,6,500,6,28.4519695829,-91.5911443346,9.43636447613,
108,6.69,8,500,8,28.8001098637,-92.2457344734,9.28701400509,
109,6.71,6,500,6,28.5992172265,-93.9186698578,9.12941384787,
110,6.71,2,500,2,28.6682204983,-95.5993282582,7.7703088814,
111,6.71,6,500,6,28.4608505065,-94.2588432112,9.85267450682,
112,6.62,4,500,4,28.1032925506,-93.3715502287,9.05432767532,
113,6.62,3,500,3,28.127981759,-116.708543718,26.6850111456,
114,6.62,12,500,12,27.6235461479,-93.0430259083,7.90361464956,
115,6.62,12,500,12,27.2546769509,-93.2704798232,9.18566561023,
116,6.62,3,500,3,26.9969748072,-91.8243090811,7.53943194907,
117,6.65,4,500,4,27.015406812,-113.257415095,38.7852054936,
118,6.65,0,500,0,26.8960466831,NaN,NaN,
119,6.62,2,500,2,26.5492524465,-92.1329993285,9.08736925174,
120,6.62,9,500,9,26.0415492171,-90.93919274,8.80948894247,
121,6.62,2,500,2,26.2049007235,-91.686152974,8.78511867765,
122,6.69,10,500,10,26.6396351765,-89.1474508664,6.88147849645,
123,6.69,9,500,9,26.5590030648,-90.6684185793,8.69039088569,
124,6.76,11,500,11,26.3865723848,-92.1489172088,6.68143431943,
125,6.76,15,500,15,26.6881140239,-91.7899118521,6.76187630211,
126,6.76,13,500,13,26.6092142159,-90.0,8.80387598419,
127,6.7,14,500,14,26.7738051922,-88.7918275179,8.91253942035,
128,6.7,6,500,6,26.8731275388,-87.768825392,6.7658607407,
129,6.77,12,500,12,26.744441398,-88.4925642412,6.89187129761,
130,6.77,15,500,15,26.4591471108,-88.5004117844,6.68479071029,
131,6.77,30,500,30,26.5610213283,-90.8814043845,6.74002287485,
132,6.91,30,500,30,26.2888302506,-92.379754003,6.76187630211,
133,6.91,25,500,25,26.951351004,-90.8814045569,6.75902883649,
134,6.94,16,500,16,27.1716926984,-89.2361015391,6.70677810546,
135,6.94,3,500,3,27.1878966235,-88.2901847397,7.05824205232,
136,6.94,22,500,22,26.7265474658,-87.9725155258,7.16349657435,
137,7.16,18,500,18,27.0218465523,-87.9545915111,7.33323624406,
138,7.16,42,500,42,26.871750189,-88.6196459266,7.3730889897,
139,7.24,52,500,52,26.4269719557,-88.3634274153,7.33160297245,
140,7.24,47,500,47,26.9884628501,-88.6028189727,7.28536415099,
141,7.24,23,500,23,27.5072402938,-89.0753553876,7.27318998489,
142,7.04,13,500,13,27.770962445,-88.789693263,7.51845152855,
143,7.04,13,500,13,28.2254643338,-88.5679038158,7.08067270694,
144,7.04,25,500,25,28.4463735876,-87.9021881367,7.17506873944,
145,7.04,24,500,24,28.7206343554,-88.3275158403,7.28430707549,
146,7.04,8,500,8,29.029941446,-89.0483797316,9.98474523928,
147,7.13,5,500,5,29.8151368027,-90.0,10.8422347091,
148,7.13,16,500,16,30.2178931139,-90.8550973963,10.3759956436,
149,7.05,1,500,1,30.3113590703,37.5519522797,15.2855884062,
150,7.05,5,500,5,30.044296725,-88.2642983211,11.4855505891,
151,7.05,11,500,11,30.1878796603,-89.23118372,11.1389392959,
152,7.27,12,500,12,30.1904871588,-90.0,11.1185948784,
153,7.27,14,500,14,30.1540231207,-90.6437400429,11.0093365312,
154,7.4,12,500,12,29.7257547838,-91.3322233357,11.2699128356,
155,7.4,6,500,6,29.6120077378,-90.9166542564,10.9701539102,
156,7.4,8,500,8,29.4767379754,-91.1457589047,10.8483742625,
157,7.43,11,500,11,28.9158646554,-91.3322198539,7.46081442019,
158,7.43,25,500,25,28.7216177165,-91.9420422533,7.58699524207,
159,7.64,52,500,52,27.6060921189,-92.3532959107,7.71210218903,
160,7.64,39,500,39,27.3246340367,-91.3322199678,7.81172166123,
161,7.64,12,500,12,27.3192947261,-91.3019526726,7.79504569773,
162,7.64,4,500,4,27.5149996392,-90.0,7.63475429369,
163,7.64,21,500,21,27.6257294535,-89.0289764997,7.58233068014,
164,7.7,35,500,35,27.9564353796,-90.0,7.68690053558,
165,7.7,64,500,64,27.990950649,-91.3478872802,7.72399406072,
166,7.7,48,500,48,28.4761154713,-90.909379264,7.89215547137,
167,7.87,40,500,40,29.3195204642,-90.7690597056,7.89820330854,
168,7.87,10,500,10,29.6939773878,-90.4340506321,10.9956739092,
169,7.93,6,500,6,29.562126007,-89.8404038488,10.887220192,
170,7.93,9,500,9,29.2039743492,-88.8308613303,10.7013851807,
171,7.93,19,500,19,28.2454224048,-88.7409547928,7.9759344282,
172,7.88,18,500,18,27.6068189298,-90.0,8.20509425134,
173,7.88,13,500,13,27.425761608,-90.7440596022,8.10878588043,
174,7.97,8,500,8,27.5961023495,-90.0,8.35396698252,
175,7.97,4,500,4,27.425761608,-89.062230373,12.6588448038,
176,7.97,7,500,7,27.747629979,-90.0,8.32747530127,
177,8.0,29,500,29,27.2635349025,-90.0,8.13442607117,
178,8.0,19,500,19,28.3688357716,-90.0,8.26868892093,
179,8.06,0,500,0,29.1155861916,NaN,NaN,
180,8.06,47,500,47,27.2509583274,-91.1344232968,8.21407550866,
181,8.06,61,500,61,27.246355723,-91.060911777,8.08802745191,
182,8.07,49,500,49,27.2912087555,-90.8680482448,8.25036681003,
183,8.07,21,500,21,27.5756005838,-90.0,8.18812902832,
184,8.15,23,500,23,27.4937170201,-89.3839400916,8.21340053558,
185,8.15,12,500,12,27.8783914922,-90.0,8.18731047859,
186,8.15,31,500,31,28.1310002079,-89.3904934233,8.33671182931,
187,8.26,19,500,19,28.2909561839,-90.0,8.42466077784,
188,8.26,4,500,4,28.6844934415,-90.672014015,8.24873337106,
189,8.34,13,500,13,28.2080004304,-90.6095065767,8.33671182931,
190,8.34,7,500,7,28.3077587603,-90.1614001904,10.7811418836,
191,8.34,5,500,5,28.1540372004,-90.5562531426,12.8913929901,
192,8.32,7,500,7,27.7647121126,-90.0,8.424,
193,8.32,2,500,2,27.8358375365,-107.902550515,18.6348046351,
194,8.44,3,500,3,28.3857310116,-88.5497852548,8.32136632766,
195,8.44,0,500,0,29.111140416,NaN,NaN,
196,8.44,2,500,2,28.9242397076,-90.4606913908,12.8630203017,
197,8.43,4,500,4,29.056286413,-90.802709271,12.6770060709,
198,8.43,9,500,9,29.412659009,-90.9548408636,12.8483255693,
199,8.45,12,500,12,29.9383574355,-90.4856864437,12.8556744881,
200,8.45,5,500,5,30.6955694442,-90.2557783205,14.1771899106,
201,8.45,4,500,4,30.5912419407,-92.5474465622,14.7401220917,
202,8.54,6,500,6,30.4553006099,-91.5929588203,8.38675533755,
203,8.54,4,500,4,30.6814235032,-91.6705379377,8.42787515817,
204,8.56,2,500,2,29.4446636293,-89.390560892,11.6658218912,
205,8.56,23,500,23,28.9553895647,-91.397179782,8.5539814731,
206,8.56,29,500,29,27.65560259,-91.8702163134,8.49680617784,
207,8.62,23,500,23,27.300090473,-92.98146122,8.5280179592,
208,8.62,49,500,49,26.7222905345,-93.4165870799,8.65498952673,
209,8.74,34,500,34,26.4061748448,-93.4682292589,8.70318992166,
210,8.74,11,500,11,26.1937724042,-92.8341110163,8.80641263398,
211,8.74,30,500,30,25.4309672647,-92.0454115825,8.86969777177,
212,8.73,20,500,20,25.1928307145,-92.8454081682,8.91677717007,
213,8.73,56,500,56,25.3048488395,-94.0856209405,8.89050850978,
214,8.79,69,500,69,25.1684918601,-93.2892428704,8.96597192166,
215,8.79,69,500,69,25.3004222464,-91.6846870728,8.73673538654,
216,8.79,75,500,75,25.1851157987,-90.8425245233,8.84596490739,
217,8.84,94,500,94,24.8354136567,-91.3971789292,8.73958611885,
218,8.84,89,500,89,24.6075283958,-92.4195050088,8.85331968983,
219,8.87,88,500,88,24.228846065,-94.8990912238,8.76427771379,
220,8.87,101,500,101,24.2348658627,-93.9646547229,8.7417013665,
221,8.87,98,500,98,24.252382274,-91.7183580017,8.74560636506,
222,9.26,126,500,126,24.2165357968,-91.3019534248,8.97245030002,
223,9.26,110,500,110,24.0194707395,-90.0,9.17070515442,
224,9.49,85,500,85,24.2818669168,-90.7957271712,9.39089004368,
225,9.49,84,500,84,24.2253475571,-92.5908544892,9.6137455928,
226,9.49,78,500,78,24.2630446352,-92.6025607536,9.59155375756,
227,9.44,55,500,55,24.6457011235,-91.789907153,9.49980490281,
228,9.44,59,500,59,24.6675880564,-93.2397002961,9.41187873163,
229,9.63,60,500,60,24.76956057,-93.0940551847,9.44727271413,
230,9.63,50,500,50,24.4845654509,-91.6211459137,9.39159313729,
231,9.63,43,500,43,24.1347396526,-90.3569785412,9.477,
232,9.7,39,500,39,23.9268441559,-90.9093869487,9.47700133896,
233,9.7,41,500,41,23.5993023125,-91.5551913079,9.80340592026,
234,9.69,37,500,37,23.506719722,-91.5074382797,9.48065554498,
235,9.69,33,500,33,23.6501341994,-88.7126702771,9.58287962212,
236,9.69,38,500,38,23.9023005864,-87.426647513,9.36429033667,
237,9.92,48,500,48,23.5393050964,-90.0,9.74714965439,
238,9.92,67,500,67,23.4731734617,-91.7899112252,9.83545555859,
239,10.04,52,500,52,23.4274160215,-92.0889109609,10.1159063474,
240,10.04,46,500,46,23.2992295258,-92.4895524248,10.1175715515,
241,10.04,60,500,60,23.040942226,-90.6030896204,9.89961201972,
242,9.79,47,500,47,22.825771552,-90.0,9.72972042847,
243,9.79,27,500,27,23.1122964596,-89.2559395685,9.79346665974,
244,9.81,29,500,29,23.1851192615,-89.2653569539,9.82828673205,
245,9.81,33,500,33,23.0467660489,-88.1523945304,9.82818173083,
246,9.81,71,500,71,23.149161635,-87.8983456723,9.86336792145,
247,9.82,94,500,94,22.9943313268,-88.8002302207,10.0464790206,
248,9.82,91,500,91,23.0117409529,-88.793954287,10.0069632163,
249,9.8,69,500,69,23.3557964841,-87.999176307,10.0600396479,
250,9.8,63,500,63,23.8356064739,-87.0828715133,10.0137219699,
251,9.8,54,500,54,24.3730184557,-86.6578808519,10.1285235962,
252,9.95,47,500,47,24.7641494952,-88.9769695425,10.2382794816,
253,9.95,29,500,29,25.3395519683,-89.0371363744,10.3215506328,
254,10.14,46,500,46,25.2627825595,-89.0122396004,10.3411141999,
255,10.14,47,500,47,25.3691322257,-87.6626927777,10.4481474943,
256,10.14,48,500,48,25.0388270691,-86.4862497394,10.2042826919,
257,10.35,49,500,49,25.6785213574,-86.6050764579,10.4900431282,
258,10.35,38,500,38,26.4950822779,-86.5526110846,10.5012570507,
259,10.54,40,500,40,26.921423895,-87.6499150368,10.7909506144,
260,10.54,13,500,13,27.9486113332,-88.6638857999,10.9638313914,
261,10.54,6,500,6,28.241428533,-90.5647294188,13.1798673838,
262,10.42,2,500,2,28.9914151817,-90.0,11.3724005356,
263,10.42,9,500,9,29.8418652304,-88.7453893326,11.0022923624,
264,10.45,6,500,6,30.8897579226,-88.4026737558,17.0072630934,
265,10.45,6,500,6,30.3398628512,-88.505660483,17.2961891381,
266,10.45,1,500,1,30.6663937063,120.572925119,33.7105461695,
267,10.42,4,500,4,30.5464609021,-101.693418097,18.1219643285,
268,10.42,3,500,3,30.4960446719,-89.1185982898,17.0333268954,
269,10.38,5,500,5,30.2829087969,-92.6542090445,16.5031412635,
270,10.38,2,500,2,30.5277852583,-91.5650690856,16.0642427343,
271,10.38,1,500,1,31.0675377391,-90.3183066115,15.7952437481,
272,10.66,3,500,3,31.0268598862,-93.1798338121,16.1357439397,
273,10.66,4,500,4,30.8166782998,-94.1103901402,17.5941377664,
274,10.88,2,500,2,30.1421046202,-91.4642673022,16.4605763589,
275,10.88,2,500,2,29.8329504314,67.939102808,10.3620117201,
276,10.88,0,500,0,29.6111715121,NaN,NaN,
277,11.02,5,500,5,29.2653084008,-90.8803041094,16.9939989206,
278,11.02,13,500,13,30.0230059483,-91.5074350293,16.0387172702,
279,11.24,2,500,2,30.597936941,-91.2330117887,24.761066707,
280,11.24,1,500,1,31.0213524448,41.6415172881,22.6235633699,
281,11.24,2,500,2,31.2821002387,-91.0416293772,17.2961884931,
282,11.31,4,500,4,30.8965842375,-91.4386402631,16.7041010619,
283,11.31,6,500,6,30.566941414,-90.1783012662,17.5492187389,
284,11.41,7,500,7,30.5968209041,-90.5272008177,18.1207989612,
285,11.41,1,500,1,31.7793638526,96.7420446983,18.237720227,
286,11.41,1,500,1,30.7398878669,-128.43729128,8.7809574823,
287,11.25,3,500,3,31.2480741436,-91.1208437465,12.617770192,
288,11.25,2,500,2,30.7493530201,-64.9470638891,25.2812912608,
289,11.23,2,500,2,29.8009435571,-90.868049165,17.2953171982,
290,11.23,11,500,11,30.9654709083,-92.9007345048,16.9321484543,
291,11.23,4,500,4,31.7027384525,-133.898303536,9.29411813123,
292,11.29,4,500,4,32.2207506875,-142.160448092,21.5045004361,
293,11.29,3,500,3,31.7178420726,-91.6728615253,16.4135863053,
294,11.24,3,500,3,31.3449865856,-92.2985740549,18.0325838831,
295,11.24,7,500,7,31.7894800667,-91.4321017018,16.9789046402,
296,11.24,10,500,10,31.9468657171,-92.862407043,16.8664996091,
297,11.33,4,500,4,31.7562652372,-92.5215550528,18.7051902466,
298,11.33,1,500,1,32.1016401724,-90.94583089,17.8613126698,
299,11.46,0,500,0,32.2197606354,NaN,NaN,
300,11.46,2,500,2,31.3136287282,-91.5812992317,19.1111948137,
301,11.46,6,500,6,31.2431860675,-92.1881731234,18.6760225562,
302,11.57,5,500,5,30.800610974,-132.15652053,45.0282802105,
303,11.57,2,500,2,30.6082083017,-91.337424553,17.163393974,
304,11.71,0,500,0,31.4573586434,NaN,NaN,
305,11.71,1,500,1,30.7958618765,-39.5123907071,9.62472246308,
306,11.71,3,500,3,29.2347110894,-68.5372741322,10.9554283753,
307,11.87,4,500,4,28.8857943706,-166.998893033,19.2682120277,
308,11.87,4,500,4,28.7894350294,-93.0127908742,17.9469855018,
309,12.03,4,500,4,28.8891766424,-127.82269986,39.1717991554,
310,12.03,1,500,1,29.3273107393,-93.4682295268,17.3250605549,
311,12.03,5,500,5,29.9257546894,-91.3240205892,18.0841366928,
312,12.08,11,500,11,31.0346654433,-91.3971814033,14.9250276695,
313,12.08,6,500,6,31.3735909462,-90.8184575526,19.496834836,
314,12.28,0,500,0,31.1517591224,NaN,NaN,
315,12.28,6,500,6,29.8053907321,-93.1798309847,19.6818121879,
316,12.28,2,500,2,29.1962494518,-81.4356729165,34.8115845885,
317,12.02,0,500,0,28.0212448976,NaN,NaN,
318,12.02,2,500,2,27.6464880827,-61.2922938271,28.7176963319,
319,12.01,4,500,4,27.7423075905,-91.2825200533,16.9364847833,
320,12.01,3,500,3,28.6507916991,-111.239551714,9.50976596763,
321,12.01,0,500,0,29.17573734,NaN,NaN,
322,12.34,0,500,0,29.4576918755,NaN,NaN,
323,12.34,1,500,1,29.2430679988,163.130527495,28.8432504894,
324,12.33,6,500,6,29.1477574393,-90.1595018126,19.9609758722,
