datetime,unix_time,latitude,longitude,elevation,speed
39:02.0,1446932342,4524.749121,7356.441044,36.048,0.2
39:02.0,1446932342,4524.749122,7356.441042,36.044,0.23
39:02.0,1446932342,4524.749123,7356.441041,36.048,0.2
39:02.1,1446932342,4524.749123,7356.441041,36.048,0.2
39:02.1,1446932342,4524.749122,7356.441042,36.046,0.09
39:02.1,1446932342,4524.749121,7356.441042,36.049,0.17
39:02.2,1446932342,4524.74912,7356.441043,36.046,0.12
39:02.2,1446932342,4524.749121,7356.441042,36.045,0.12
39:02.3,1446932342,4524.749121,7356.441042,36.045,0.04
39:02.3,1446932342,4524.74912,7356.441043,36.046,0.08
39:02.3,1446932342,4524.749121,7356.441043,36.046,0.09
39:02.4,1446932342,4524.749122,7356.441042,36.045,0.23
39:02.4,1446932342,4524.749123,7356.441043,36.046,0.23
39:02.5,1446932342,4524.749121,7356.441042,36.045,0.09
39:02.5,1446932343,4524.749121,7356.441042,36.045,0.17
39:02.5,1446932343,4524.749121,7356.441041,36.045,0.14
39:02.6,1446932343,4524.74912,7356.441041,36.047,0.1
39:02.6,1446932343,4524.74912,7356.441043,36.046,0.1
39:02.7,1446932343,4524.749121,7356.441042,36.043,0.19
39:02.7,1446932343,4524.749121,7356.441042,36.043,0.16
39:02.7,1446932343,4524.749121,7356.441042,36.043,0.04
39:02.8,1446932343,4524.749121,7356.441042,36.044,0.04
39:02.8,1446932343,4524.74912,7356.441042,36.045,0.04
39:02.9,1446932343,4524.749123,7356.441042,36.044,0.11
39:02.9,1446932343,4524.749123,7356.441042,36.044,0.34
39:02.9,1446932343,4524.749123,7356.441042,36.042,0.04
39:03.0,1446932343,4524.749124,7356.44104,36.049,0.24
39:03.0,1446932343,4524.749123,7356.44104,36.049,0.24
39:03.1,1446932343,4524.749123,7356.44104,36.049,0.06
39:03.1,1446932343,4524.749123,7356.441041,36.051,0.1
39:03.1,1446932343,4524.749123,7356.441041,36.05,0.08
39:03.2,1446932343,4524.749123,7356.441039,36.049,0.13
39:03.2,1446932343,4524.749122,7356.44104,36.049,0.13
39:03.3,1446932343,4524.749119,7356.44104,36.051,0.23
39:03.3,1446932343,4524.749119,7356.44104,36.051,0.38
39:03.3,1446932343,4524.749115,7356.44104,36.05,0.52
39:03.4,1446932343,4524.74911,7356.441039,36.052,0.63
39:03.4,1446932343,4524.749104,7356.441039,36.053,0.63
39:03.5,1446932343,4524.749096,7356.441038,36.052,0.87
39:03.5,1446932344,4524.749096,7356.441038,36.052,0.99
39:03.5,1446932344,4524.749094,7356.441038,36.048,0.36
39:03.6,1446932344,4524.749091,7356.441036,36.054,0.32
39:03.6,1446932344,4524.749089,7356.441036,36.053,0.32
39:03.7,1446932344,4524.749089,7356.441036,36.053,0.34
39:03.7,1446932344,4524.749085,7356.441035,36.057,0.55
39:03.7,1446932344,4524.749081,7356.441034,36.058,0.56
39:03.8,1446932344,4524.749074,7356.441033,36.06,0.84
39:03.8,1446932344,4524.749068,7356.441032,36.06,0.84
39:03.9,1446932344,4524.749068,7356.441032,36.06,0.88
39:03.9,1446932344,4524.74906,7356.44103,36.063,1.07
39:03.9,1446932344,4524.749051,7356.441029,36.062,1.2
39:04.0,1446932344,4524.749041,7356.441028,36.058,1.34
39:04.0,1446932344,4524.74903,7356.441026,36.056,1.34
39:04.1,1446932344,4524.74903,7356.441026,36.056,1.53
39:04.1,1446932344,4524.749018,7356.441023,36.054,1.52
39:04.1,1446932344,4524.749005,7356.441018,36.059,1.81
39:04.2,1446932344,4524.748989,7356.441012,36.067,2.24
39:04.2,1446932344,4524.748973,7356.441009,36.077,2.24
39:04.3,1446932344,4524.748973,7356.441009,36.077,2.19
39:04.3,1446932344,4524.748954,7356.441007,36.078,2.57
39:04.3,1446932344,4524.748932,7356.441005,36.071,2.84
39:04.4,1446932344,4524.748913,7356.441002,36.064,2.57
39:04.4,1446932344,4524.748892,7356.440994,36.07,2.57
39:04.5,1446932344,4524.748868,7356.440989,36.067,2.84
39:04.5,1446932345,4524.748868,7356.440989,36.067,3.25
39:04.5,1446932345,4524.748841,7356.440985,36.069,3.71
39:04.6,1446932345,4524.748817,7356.44098,36.07,3.16
39:04.6,1446932345,4524.748792,7356.440975,36.072,3.16
39:04.7,1446932345,4524.748765,7356.440969,36.077,3.4
39:04.7,1446932345,4524.748765,7356.440969,36.077,3.63
39:04.7,1446932345,4524.748739,7356.440961,36.079,3.53
39:04.8,1446932345,4524.748711,7356.440955,36.086,3.79
39:04.8,1446932345,4524.748679,7356.440953,36.088,3.79
39:04.9,1446932345,4524.748679,7356.440953,36.088,4.22
39:04.9,1446932345,4524.748642,7356.440954,36.091,5.01
39:04.9,1446932345,4524.748611,7356.440956,36.083,4.12
39:05.0,1446932345,4524.748575,7356.44095,36.102,4.87
39:05.0,1446932345,4524.74854,7356.440944,36.102,4.87
39:05.1,1446932345,4524.74854,7356.440944,36.102,4.7
39:05.1,1446932345,4524.748503,7356.440937,36.098,5
39:05.1,1446932345,4524.748465,7356.440927,36.096,5.18
39:05.2,1446932345,4524.748427,7356.44092,36.097,5.04
39:05.2,1446932345,4524.748386,7356.440913,36.099,5.04
39:05.3,1446932345,4524.748343,7356.440905,36.1,5.45
39:05.3,1446932345,4524.748343,7356.440905,36.1,5.78
39:05.3,1446932345,4524.748302,7356.440889,36.099,5.81
39:05.4,1446932345,4524.748261,7356.440872,36.102,5.57
39:05.4,1446932345,4524.74823,7356.44087,36.104,5.57
39:05.5,1446932345,4524.74823,7356.44087,36.104,4.12
39:05.5,1446932346,4524.74819,7356.440863,36.117,5.4
39:05.5,1446932346,4524.748148,7356.440848,36.121,5.81
39:05.6,1446932346,4524.748106,7356.440841,36.114,5.62
39:05.6,1446932346,4524.748066,7356.440832,36.116,5.62
39:05.7,1446932346,4524.748025,7356.440824,36.118,5.41
39:05.7,1446932346,4524.748025,7356.440824,36.118,5.53
39:05.7,1446932346,4524.747984,7356.440821,36.126,5.53
39:05.8,1446932346,4524.747946,7356.440815,36.139,5.04
39:05.8,1446932346,4524.747907,7356.440807,36.138,5.04
39:05.9,1446932346,4524.747907,7356.440807,36.138,5.27
39:05.9,1446932346,4524.747867,7356.440804,36.139,5.33
39:05.9,1446932346,4524.747828,7356.4408,36.141,5.25
39:06.0,1446932346,4524.74779,7356.440795,36.14,5.03
39:06.0,1446932346,4524.747748,7356.440775,36.152,5.03
39:06.1,1446932346,4524.747748,7356.440775,36.152,5.91
39:06.1,1446932346,4524.747708,7356.44076,36.15,5.57
39:06.1,1446932346,4524.747668,7356.440746,36.153,5.54
39:06.2,1446932346,4524.747627,7356.440732,36.152,5.55
39:06.2,1446932346,4524.747584,7356.440716,36.151,5.55
39:06.3,1446932346,4524.747542,7356.440707,36.155,5.93
39:06.3,1446932346,4524.747542,7356.440707,36.155,5.64
39:06.3,1446932346,4524.7475,7356.440696,36.163,5.69
39:06.4,1446932346,4524.747455,7356.440688,36.171,6.04
39:06.4,1446932346,4524.74741,7356.440685,36.182,6.04
39:06.5,1446932346,4524.747364,7356.440679,36.18,6.04
39:06.5,1446932347,4524.747364,7356.440679,36.18,6.23
39:06.5,1446932347,4524.747316,7356.440676,36.177,6.36
39:06.6,1446932347,4524.747267,7356.44067,36.171,6.52
39:06.6,1446932347,4524.747223,7356.440652,36.169,6.52
39:06.7,1446932347,4524.747223,7356.440652,36.169,6.19
39:06.7,1446932347,4524.747174,7356.440648,36.175,6.48
39:06.7,1446932347,4524.747127,7356.440638,36.187,6.35
39:06.8,1446932347,4524.747077,7356.440627,36.187,6.74
39:06.8,1446932347,4524.747029,7356.44061,36.188,6.74
39:06.9,1446932347,4524.746986,7356.440595,36.187,6.63
39:06.9,1446932347,4524.746986,7356.440595,36.187,5.87
39:06.9,1446932347,4524.746938,7356.440585,36.204,6.46
39:07.0,1446932347,4524.746893,7356.440587,36.213,6.02
39:07.0,1446932347,4524.746843,7356.440583,36.211,6.02
39:07.1,1446932347,4524.746796,7356.440578,36.217,6.64
39:07.1,1446932347,4524.746796,7356.440578,36.217,6.37
39:07.1,1446932347,4524.746751,7356.440562,36.208,6.1
39:07.2,1446932347,4524.746705,7356.44055,36.206,6.31
39:07.2,1446932347,4524.746667,7356.440536,36.223,6.31
39:07.3,1446932347,4524.746667,7356.440536,36.223,5.16
39:07.3,1446932347,4524.746623,7356.44052,36.224,6.03
39:07.3,1446932347,4524.746572,7356.440507,36.223,7.01
39:07.4,1446932347,4524.746522,7356.440492,36.223,6.82
39:07.4,1446932347,4524.746472,7356.440479,36.228,6.82
39:07.5,1446932347,4524.746418,7356.440465,36.225,6.77
39:07.5,1446932348,4524.746418,7356.440465,36.225,7.24
39:07.5,1446932348,4524.746373,7356.440459,36.242,6.03
39:07.6,1446932348,4524.746325,7356.44045,36.24,6.44
39:07.6,1446932348,4524.746278,7356.440434,36.238,6.44
39:07.7,1446932348,4524.746229,7356.44042,36.24,6.51
39:07.7,1446932348,4524.746229,7356.44042,36.24,6.61
39:07.7,1446932348,4524.746178,7356.440407,36.232,6.96
39:07.8,1446932348,4524.746137,7356.440395,36.233,5.65
