datetime,unix_time,latitude,longitude,elevation,speed
07:39.0,1440529659,4524.909482,7356.278884,32.413,0.06
07:39.0,1440529659,4524.909482,7356.278884,32.415,0.03
07:39.0,1440529659,4524.909482,7356.278884,32.415,0.03
07:39.1,1440529659,4524.909482,7356.278884,32.415,0.03
07:39.1,1440529659,4524.909482,7356.278884,32.418,0.04
07:39.2,1440529659,4524.909482,7356.278884,32.418,0.04
07:39.2,1440529659,4524.909483,7356.278885,32.412,0.04
07:39.2,1440529659,4524.909483,7356.278885,32.412,0.02
07:39.3,1440529659,4524.909483,7356.278885,32.412,0.02
07:39.3,1440529659,4524.909483,7356.278884,32.412,0.01
07:39.4,1440529659,4524.909483,7356.278884,32.412,0.01
07:39.4,1440529659,4524.909485,7356.278885,32.415,0.01
07:39.4,1440529659,4524.909485,7356.278885,32.415,0.04
07:39.5,1440529659,4524.909485,7356.278885,32.415,0.04
07:39.5,1440529660,4524.909486,7356.278884,32.413,0.04
07:39.6,1440529660,4524.909486,7356.278884,32.413,0.04
07:39.6,1440529660,4524.909483,7356.278885,32.413,0.04
07:39.6,1440529660,4524.909483,7356.278885,32.413,0.04
07:39.7,1440529660,4524.909483,7356.278885,32.413,0.04
07:39.7,1440529660,4524.909484,7356.278887,32.415,0.07
07:39.8,1440529660,4524.909484,7356.278887,32.415,0.07
07:39.8,1440529660,4524.909482,7356.278889,32.414,0.07
07:39.8,1440529660,4524.909482,7356.278889,32.414,0.13
07:39.9,1440529660,4524.909482,7356.278889,32.414,0.13
07:39.9,1440529660,4524.909481,7356.278893,32.415,0.19
07:40.0,1440529660,4524.909481,7356.278893,32.415,0.19
07:40.0,1440529660,4524.909479,7356.278895,32.412,0.19
07:40.0,1440529660,4524.909479,7356.278895,32.412,0.19
07:40.1,1440529660,4524.909479,7356.278895,32.412,0.19
07:40.1,1440529660,4524.909479,7356.278897,32.411,0.19
07:40.2,1440529660,4524.909479,7356.278897,32.411,0.19
07:40.2,1440529660,4524.909477,7356.278899,32.413,0.19
07:40.2,1440529660,4524.909477,7356.278899,32.413,0.18
07:40.3,1440529660,4524.909477,7356.278899,32.413,0.18
07:40.3,1440529660,4524.909477,7356.278899,32.413,0.14
07:40.4,1440529660,4524.909477,7356.278899,32.413,0.14
07:40.4,1440529660,4524.909476,7356.2789,32.412,0.14
07:40.4,1440529660,4524.909476,7356.2789,32.412,0.12
07:40.5,1440529660,4524.909476,7356.2789,32.412,0.12
07:40.5,1440529661,4524.909477,7356.278899,32.414,0.09
07:40.6,1440529661,4524.909477,7356.278899,32.414,0.09
07:40.6,1440529661,4524.909476,7356.2789,32.411,0.09
07:40.6,1440529661,4524.909476,7356.2789,32.411,0.07
07:40.7,1440529661,4524.909476,7356.2789,32.411,0.07
07:40.7,1440529661,4524.909476,7356.2789,32.411,0.06
