datetime,unix_time,latitude,longitude,elevation,speed
15:25.4,1440530125,4525.598138,7356.375788,48.518,0
15:25.4,1440530125,4525.598137,7356.375789,48.514,0.04
15:25.4,1440530125,4525.598137,7356.375789,48.514,0.04
15:25.5,1440530125,4525.598137,7356.375789,48.514,0.04
15:25.5,1440530126,4525.598159,7356.375799,48.519,0.04
15:25.6,1440530126,4525.598159,7356.375799,48.519,0.04
15:25.6,1440530126,4525.598158,7356.3758,48.517,0.06
15:25.6,1440530126,4525.598158,7356.3758,48.517,0.06
15:25.7,1440530126,4525.598158,7356.3758,48.517,0.06
15:25.7,1440530126,4525.598178,7356.375809,48.519,0.06
15:25.8,1440530126,4525.598178,7356.375809,48.519,0.06
15:25.8,1440530126,4525.598179,7356.37581,48.52,0.05
15:25.8,1440530126,4525.598179,7356.37581,48.52,0.05
15:25.9,1440530126,4525.598179,7356.37581,48.52,0.05
15:25.9,1440530126,4525.598198,7356.375817,48.522,0.04
15:26.0,1440530126,4525.598198,7356.375817,48.522,0.04
15:26.0,1440530126,4525.598197,7356.375817,48.526,0.05
15:26.0,1440530126,4525.598197,7356.375817,48.526,0.05
15:26.1,1440530126,4525.598197,7356.375817,48.526,0.05
15:26.1,1440530126,4525.598214,7356.375822,48.531,0.06
15:26.2,1440530126,4525.598214,7356.375822,48.531,0.06
15:26.2,1440530126,4525.598211,7356.375821,48.535,0.11
15:26.2,1440530126,4525.598211,7356.375821,48.535,0.11
15:26.3,1440530126,4525.598211,7356.375821,48.535,0.11
15:26.3,1440530126,4525.598227,7356.375826,48.542,0.13
15:26.4,1440530126,4525.598227,7356.375826,48.542,0.13
15:26.4,1440530126,4525.598225,7356.375825,48.543,0.14
15:26.4,1440530126,4525.598225,7356.375825,48.543,0.14
15:26.5,1440530126,4525.598225,7356.375825,48.543,0.14
15:26.5,1440530127,4525.598224,7356.375836,48.556,0.15
15:26.6,1440530127,4525.598224,7356.375836,48.556,0.15
15:26.6,1440530127,4525.598222,7356.375835,48.557,0.17
15:26.6,1440530127,4525.598222,7356.375835,48.557,0.17
15:26.7,1440530127,4525.598222,7356.375835,48.557,0.17
15:26.7,1440530127,4525.59824,7356.375838,48.565,0.13
15:26.8,1440530127,4525.59824,7356.375838,48.565,0.13
15:26.8,1440530127,4525.598239,7356.375836,48.565,0.13
15:26.8,1440530127,4525.598239,7356.375836,48.565,0.13
15:26.9,1440530127,4525.598239,7356.375836,48.565,0.13
15:26.9,1440530127,4525.59824,7356.375846,48.576,0.1
15:27.0,1440530127,4525.59824,7356.375846,48.576,0.1
15:27.0,1440530127,4525.59824,7356.375846,48.584,0.05
15:27.0,1440530127,4525.59824,7356.375846,48.584,0.05
15:27.1,1440530127,4525.59824,7356.375846,48.584,0.05
15:27.1,1440530127,4525.598242,7356.375855,48.596,0.03
15:27.2,1440530127,4525.598242,7356.375855,48.596,0.03
15:27.2,1440530127,4525.598242,7356.375854,48.595,0.03
15:27.2,1440530127,4525.598242,7356.375854,48.595,0.03
15:27.3,1440530127,4525.598242,7356.375854,48.595,0.03
15:27.3,1440530127,4525.598244,7356.375863,48.612,0.02
15:27.4,1440530127,4525.598244,7356.375863,48.612,0.02
15:27.4,1440530127,4525.598244,7356.375863,48.614,0.02
15:27.4,1440530127,4525.598244,7356.375863,48.614,0.02
15:27.5,1440530127,4525.598244,7356.375863,48.614,0.02
15:27.5,1440530128,4525.598247,7356.375871,48.63,0.03
15:27.6,1440530128,4525.598247,7356.375871,48.63,0.03
15:27.6,1440530128,4525.598247,7356.375871,48.63,0.03
15:27.6,1440530128,4525.598247,7356.375871,48.63,0.03
15:27.7,1440530128,4525.598247,7356.375871,48.63,0.03
15:27.7,1440530128,4525.59825,7356.375879,48.645,0.01
15:27.8,1440530128,4525.59825,7356.375879,48.645,0.01
15:27.8,1440530128,4525.59825,7356.375879,48.645,0.03
15:27.8,1440530128,4525.59825,7356.375879,48.645,0.03
15:27.9,1440530128,4525.59825,7356.375879,48.645,0.03
15:27.9,1440530128,4525.598253,7356.375887,48.66,0.01
15:28.0,1440530128,4525.598253,7356.375887,48.66,0.01
15:28.0,1440530128,4525.598252,7356.375886,48.661,0.01
15:28.0,1440530128,4525.598252,7356.375886,48.661,0.01
15:28.1,1440530128,4525.598252,7356.375886,48.661,0.01
15:28.1,1440530128,4525.598255,7356.375894,48.675,0
15:28.2,1440530128,4525.598255,7356.375894,48.675,0
15:28.2,1440530128,4525.598256,7356.375893,48.678,0.03
15:28.2,1440530128,4525.598256,7356.375893,48.678,0.03
15:28.3,1440530128,4525.598256,7356.375893,48.678,0.03
15:28.3,1440530128,4525.598259,7356.3759,48.694,0.01
15:28.4,1440530128,4525.598259,7356.3759,48.694,0.01
15:28.4,1440530128,4525.598259,7356.375899,48.702,0.01
15:28.4,1440530128,4525.598259,7356.375899,48.702,0.01
15:28.5,1440530128,4525.598259,7356.375899,48.702,0.01
15:28.5,1440530129,4525.598263,7356.375905,48.72,0.01
15:28.6,1440530129,4525.598263,7356.375905,48.72,0.01
15:28.6,1440530129,4525.598262,7356.375904,48.72,0.03
15:28.6,1440530129,4525.598262,7356.375904,48.72,0.03
15:28.7,1440530129,4525.598262,7356.375904,48.72,0.03
15:28.7,1440530129,4525.598266,7356.37591,48.738,0.02
15:28.8,1440530129,4525.598266,7356.37591,48.738,0.02
15:28.8,1440530129,4525.598265,7356.37591,48.738,0.04
15:28.8,1440530129,4525.598265,7356.37591,48.738,0.04
15:28.9,1440530129,4525.598265,7356.37591,48.738,0.04
15:28.9,1440530129,4525.598268,7356.375915,48.755,0.04
15:29.0,1440530129,4525.598268,7356.375915,48.755,0.04
15:29.0,1440530129,4525.598274,7356.375919,48.754,0.16
15:29.0,1440530129,4525.598274,7356.375919,48.754,0.16
15:29.1,1440530129,4525.598274,7356.375919,48.754,0.16
