datetime,unix_time,latitude,longitude,elevation,speed
00:22.0,1440529222,4524.970515,7356.598952,30.5,0.03
00:22.0,1440529222,4524.970515,7356.598952,30.5,0.03
00:22.1,1440529222,4524.970515,7356.598952,30.5,0.03
00:22.1,1440529222,4524.97051,7356.598949,30.489,0.03
00:22.2,1440529222,4524.97051,7356.598949,30.489,0.03
00:22.2,1440529222,4524.97051,7356.598947,30.493,0.03
00:22.2,1440529222,4524.97051,7356.598947,30.493,0.03
00:22.3,1440529222,4524.97051,7356.598947,30.493,0.03
00:22.3,1440529222,4524.970505,7356.598945,30.483,0.02
00:22.4,1440529222,4524.970505,7356.598945,30.483,0.02
00:22.4,1440529222,4524.970505,7356.598944,30.484,0.02
00:22.4,1440529222,4524.970505,7356.598944,30.484,0.03
00:22.5,1440529222,4524.970505,7356.598944,30.484,0.03
00:22.5,1440529223,4524.9705,7356.598941,30.476,0.04
00:22.6,1440529223,4524.9705,7356.598941,30.476,0.04
00:22.6,1440529223,4524.9705,7356.598943,30.474,0.04
00:22.6,1440529223,4524.9705,7356.598943,30.474,0.03
00:22.7,1440529223,4524.9705,7356.598943,30.474,0.03
00:22.7,1440529223,4524.970496,7356.598939,30.463,0.02
00:22.8,1440529223,4524.970496,7356.598939,30.463,0.02
00:22.8,1440529223,4524.970496,7356.598941,30.467,0.02
00:22.8,1440529223,4524.970496,7356.598941,30.467,0.04
00:22.9,1440529223,4524.970496,7356.598941,30.467,0.04
00:22.9,1440529223,4524.970493,7356.598939,30.455,0.05
00:23.0,1440529223,4524.970493,7356.598939,30.455,0.05
00:23.0,1440529223,4524.970493,7356.59894,30.455,0.05
00:23.0,1440529223,4524.970493,7356.59894,30.455,0.05
00:23.1,1440529223,4524.970493,7356.59894,30.455,0.05
00:23.1,1440529223,4524.970489,7356.598938,30.446,0.05
00:23.2,1440529223,4524.970489,7356.598938,30.446,0.05
00:23.2,1440529223,4524.970489,7356.598939,30.441,0.05
00:23.2,1440529223,4524.970489,7356.598939,30.441,0.05
00:23.3,1440529223,4524.970489,7356.598939,30.441,0.05
00:23.3,1440529223,4524.970486,7356.598936,30.432,0.05
00:23.4,1440529223,4524.970486,7356.598936,30.432,0.05
00:23.4,1440529223,4524.970486,7356.598936,30.434,0.05
00:23.4,1440529223,4524.970486,7356.598936,30.434,0.03
00:23.5,1440529223,4524.970486,7356.598936,30.434,0.03
00:23.5,1440529224,4524.970482,7356.598934,30.423,0.02
00:23.6,1440529224,4524.970482,7356.598934,30.423,0.02
00:23.6,1440529224,4524.970482,7356.598934,30.424,0.02
00:23.6,1440529224,4524.970482,7356.598934,30.424,0.03
00:23.7,1440529224,4524.970482,7356.598934,30.424,0.03
00:23.7,1440529224,4524.970479,7356.598932,30.414,0.03
00:23.8,1440529224,4524.970479,7356.598932,30.414,0.03
00:23.8,1440529224,4524.970479,7356.598931,30.413,0.03
00:23.8,1440529224,4524.970479,7356.598931,30.413,0.03
