datetime,unix_time,latitude,longitude,elevation,speed
37:53.8,1440531474,4525.766101,7355.773329,40.07,0.03
37:53.8,1440531474,4525.766101,7355.773329,40.07,0.03
37:53.9,1440531474,4525.766101,7355.773329,40.071,0.03
37:53.9,1440531474,4525.766101,7355.773329,40.071,0.03
37:53.9,1440531474,4525.766101,7355.773329,40.071,0.03
37:54.0,1440531474,4525.766102,7355.773328,40.074,0.03
37:54.0,1440531474,4525.766102,7355.773328,40.074,0.03
37:54.1,1440531474,4525.766102,7355.773329,40.074,0.03
37:54.1,1440531474,4525.766102,7355.773329,40.074,0.01
37:54.1,1440531474,4525.766102,7355.773329,40.074,0.01
37:54.2,1440531474,4525.766103,7355.773327,40.073,0.05
37:54.2,1440531474,4525.766103,7355.773327,40.073,0.05
37:54.3,1440531474,4525.766103,7355.773328,40.074,0.05
37:54.3,1440531474,4525.766103,7355.773328,40.074,0.03
37:54.3,1440531474,4525.766103,7355.773328,40.074,0.03
37:54.4,1440531474,4525.766102,7355.773326,40.075,0.06
37:54.4,1440531474,4525.766102,7355.773326,40.075,0.06
37:54.5,1440531474,4525.766103,7355.773325,40.074,0.06
37:54.5,1440531475,4525.766103,7355.773325,40.074,0.05
37:54.5,1440531475,4525.766103,7355.773325,40.074,0.05
37:54.6,1440531475,4525.766105,7355.773322,40.075,0.12
37:54.6,1440531475,4525.766105,7355.773322,40.075,0.12
37:54.7,1440531475,4525.766106,7355.773319,40.075,0.14
37:54.7,1440531475,4525.766106,7355.773319,40.075,0.14
37:54.7,1440531475,4525.766106,7355.773319,40.075,0.14
37:54.8,1440531475,4525.766107,7355.773317,40.074,0.14
37:54.8,1440531475,4525.766107,7355.773317,40.074,0.14
37:54.9,1440531475,4525.766107,7355.773314,40.075,0.14
37:54.9,1440531475,4525.766107,7355.773314,40.075,0.16
37:54.9,1440531475,4525.766107,7355.773314,40.075,0.16
37:55.0,1440531475,4525.766107,7355.773314,40.075,0.11
37:55.0,1440531475,4525.766107,7355.773314,40.075,0.11
37:55.1,1440531475,4525.766107,7355.773313,40.074,0.11
37:55.1,1440531475,4525.766107,7355.773313,40.074,0.08
37:55.1,1440531475,4525.766107,7355.773313,40.074,0.08
37:55.2,1440531475,4525.766108,7355.773312,40.072,0.07
37:55.2,1440531475,4525.766108,7355.773312,40.072,0.07
37:55.3,1440531475,4525.766108,7355.773312,40.072,0.03
37:55.3,1440531475,4525.766108,7355.773312,40.072,0.03
37:55.3,1440531475,4525.766108,7355.773312,40.072,0.03
37:55.4,1440531475,4525.766108,7355.773312,40.073,0.01
37:55.4,1440531475,4525.766108,7355.773312,40.073,0.01
37:55.5,1440531475,4525.766107,7355.773312,40.071,0.01
37:55.5,1440531476,4525.766107,7355.773312,40.071,0.01
37:55.5,1440531476,4525.766107,7355.773312,40.071,0.01
37:55.6,1440531476,4525.766108,7355.773312,40.073,0.03
37:55.6,1440531476,4525.766108,7355.773312,40.073,0.03
37:55.7,1440531476,4525.766108,7355.773313,40.072,0.03
37:55.7,1440531476,4525.766108,7355.773313,40.072,0.03
37:55.8,1440531476,4525.766108,7355.773313,40.072,0.03
37:55.8,1440531476,4525.766107,7355.773313,40.071,0.05
37:55.8,1440531476,4525.766107,7355.773313,40.071,0.05
37:55.9,1440531476,4525.766105,7355.773319,40.071,0.05
37:55.9,1440531476,4525.766105,7355.773319,40.071,0.14
37:55.9,1440531476,4525.766105,7355.773319,40.071,0.14
37:56.0,1440531476,4525.7661,7355.773336,40.071,0.5
37:56.0,1440531476,4525.7661,7355.773336,40.071,0.5
37:56.1,1440531476,4525.766094,7355.773356,40.072,0.5
37:56.1,1440531476,4525.766094,7355.773356,40.072,0.78
37:56.1,1440531476,4525.766094,7355.773356,40.072,0.78
37:56.2,1440531476,4525.766087,7355.773384,40.07,1.17
37:56.2,1440531476,4525.766087,7355.773384,40.07,1.17
37:56.3,1440531476,4525.766076,7355.773424,40.071,1.17
37:56.3,1440531476,4525.766076,7355.773424,40.071,1.64
37:56.3,1440531476,4525.766076,7355.773424,40.071,1.64
37:56.4,1440531476,4525.766069,7355.773472,40.072,2.14
37:56.4,1440531476,4525.766069,7355.773472,40.072,2.14
37:56.5,1440531476,4525.766056,7355.773532,40.072,2.68
37:56.5,1440531477,4525.766056,7355.773532,40.072,2.68
37:56.6,1440531477,4525.766056,7355.773532,40.072,2.68
37:56.6,1440531477,4525.766041,7355.773589,40.075,3.01
37:56.6,1440531477,4525.766041,7355.773589,40.075,3.01
37:56.7,1440531477,4525.766024,7355.773664,40.073,3.01
37:56.7,1440531477,4525.766024,7355.773664,40.073,3.53
37:56.7,1440531477,4525.766024,7355.773664,40.073,3.53
