datetime,unix_time,latitude,longitude,elevation,speed
25:20.3,1440530720,4525.78529,7355.857192,39.395,0.02
25:20.4,1440530720,4525.785291,7355.857193,39.393,0.04
25:20.4,1440530720,4525.785291,7355.857193,39.393,0.04
25:20.5,1440530720,4525.785291,7355.857193,39.393,0.04
25:20.5,1440530721,4525.785291,7355.857193,39.393,0.03
25:20.5,1440530721,4525.785291,7355.857193,39.393,0.03
25:20.6,1440530721,4525.785291,7355.857192,39.392,0.01
25:20.6,1440530721,4525.785291,7355.857192,39.392,0.01
25:20.7,1440530721,4525.785291,7355.857192,39.392,0.01
25:20.7,1440530721,4525.785291,7355.857192,39.391,0.02
25:20.7,1440530721,4525.785291,7355.857192,39.391,0.02
25:20.8,1440530721,4525.785291,7355.857192,39.393,0.01
25:20.8,1440530721,4525.785291,7355.857192,39.393,0.01
25:20.9,1440530721,4525.785291,7355.857192,39.393,0.01
25:20.9,1440530721,4525.78529,7355.857191,39.393,0.03
25:20.9,1440530721,4525.78529,7355.857191,39.393,0.03
25:21.0,1440530721,4525.78529,7355.857191,39.388,0.01
25:21.0,1440530721,4525.78529,7355.857191,39.388,0.01
25:21.1,1440530721,4525.78529,7355.857191,39.388,0.01
25:21.1,1440530721,4525.78529,7355.85719,39.388,0.02
25:21.1,1440530721,4525.78529,7355.85719,39.388,0.02
25:21.2,1440530721,4525.785289,7355.85719,39.385,0.04
25:21.2,1440530721,4525.785289,7355.85719,39.385,0.04
25:21.3,1440530721,4525.785289,7355.85719,39.385,0.04
25:21.3,1440530721,4525.785289,7355.85719,39.384,0.04
25:21.3,1440530721,4525.785289,7355.85719,39.384,0.04
25:21.4,1440530721,4525.785287,7355.857191,39.378,0.05
25:21.4,1440530721,4525.785287,7355.857191,39.378,0.05
25:21.5,1440530721,4525.785287,7355.857191,39.378,0.05
25:21.5,1440530722,4525.785287,7355.85719,39.377,0.06
25:21.5,1440530722,4525.785287,7355.85719,39.377,0.06
25:21.6,1440530722,4525.785287,7355.857193,39.374,0.08
25:21.6,1440530722,4525.785287,7355.857193,39.374,0.08
25:21.7,1440530722,4525.785287,7355.857193,39.374,0.08
25:21.7,1440530722,4525.785285,7355.857194,39.374,0.11
25:21.7,1440530722,4525.785285,7355.857194,39.374,0.11
25:21.8,1440530722,4525.785284,7355.857198,39.365,0.15
25:21.8,1440530722,4525.785284,7355.857198,39.365,0.15
25:21.9,1440530722,4525.785284,7355.857198,39.365,0.15
25:21.9,1440530722,4525.785283,7355.8572,39.365,0.19
25:21.9,1440530722,4525.785283,7355.8572,39.365,0.19
25:22.0,1440530722,4525.785282,7355.857202,39.362,0.16
25:22.0,1440530722,4525.785282,7355.857202,39.362,0.16
25:22.1,1440530722,4525.785282,7355.857202,39.362,0.16
25:22.1,1440530722,4525.785282,7355.857202,39.36,0.13
25:22.1,1440530722,4525.785282,7355.857202,39.36,0.13
25:22.2,1440530722,4525.78528,7355.857204,39.359,0.13
25:22.2,1440530722,4525.78528,7355.857204,39.359,0.13
25:22.3,1440530722,4525.78528,7355.857204,39.359,0.13
25:22.3,1440530722,4525.785281,7355.857202,39.358,0.09
25:22.3,1440530722,4525.785281,7355.857202,39.358,0.09
25:22.4,1440530722,4525.78528,7355.857202,39.356,0.08
25:22.4,1440530722,4525.78528,7355.857202,39.356,0.08
25:22.5,1440530722,4525.78528,7355.857202,39.356,0.08
25:22.5,1440530723,4525.785279,7355.857201,39.356,0.07
25:22.5,1440530723,4525.785279,7355.857201,39.356,0.07
25:22.6,1440530723,4525.785278,7355.857202,39.358,0.07
25:22.6,1440530723,4525.785278,7355.857202,39.358,0.07
25:22.7,1440530723,4525.785278,7355.857202,39.358,0.07
25:22.7,1440530723,4525.785277,7355.857201,39.357,0.07
25:22.7,1440530723,4525.785277,7355.857201,39.357,0.07
25:22.8,1440530723,4525.785278,7355.857201,39.361,0.05
25:22.8,1440530723,4525.785278,7355.857201,39.361,0.05
25:22.9,1440530723,4525.785278,7355.857201,39.361,0.05
25:22.9,1440530723,4525.785277,7355.8572,39.362,0.04
25:22.9,1440530723,4525.785277,7355.8572,39.362,0.04
25:23.0,1440530723,4525.785276,7355.857201,39.363,0.03
25:23.0,1440530723,4525.785276,7355.857201,39.363,0.03
25:23.1,1440530723,4525.785276,7355.857201,39.363,0.03
25:23.1,1440530723,4525.785277,7355.857199,39.365,0.02
25:23.1,1440530723,4525.785277,7355.857199,39.365,0.02
25:23.2,1440530723,4525.785278,7355.857194,39.363,0.14
25:23.2,1440530723,4525.785278,7355.857194,39.363,0.14
25:23.3,1440530723,4525.785278,7355.857194,39.363,0.14
25:23.3,1440530723,4525.78528,7355.857186,39.365,0.25
25:23.3,1440530723,4525.78528,7355.857186,39.365,0.25
25:23.4,1440530723,4525.785284,7355.857174,39.366,0.44
25:23.4,1440530723,4525.785284,7355.857174,39.366,0.44
25:23.5,1440530723,4525.785284,7355.857174,39.366,0.44
25:23.5,1440530724,4525.785289,7355.857156,39.367,0.68
25:23.5,1440530724,4525.785289,7355.857156,39.367,0.68
25:23.6,1440530724,4525.785296,7355.857137,39.37,0.9
25:23.6,1440530724,4525.785296,7355.857137,39.37,0.9
25:23.7,1440530724,4525.785296,7355.857137,39.37,0.9
25:23.7,1440530724,4525.785305,7355.85711,39.37,1.18
25:23.7,1440530724,4525.785305,7355.85711,39.37,1.18
25:23.8,1440530724,4525.785313,7355.857083,39.37,1.4
25:23.8,1440530724,4525.785313,7355.857083,39.37,1.4
25:23.9,1440530724,4525.785313,7355.857083,39.37,1.4
25:23.9,1440530724,4525.785325,7355.857046,39.371,1.69
25:23.9,1440530724,4525.785325,7355.857046,39.371,1.69
25:24.0,1440530724,4525.785339,7355.857006,39.377,2.03
25:24.0,1440530724,4525.785339,7355.857006,39.377,2.03
25:24.1,1440530724,4525.785339,7355.857006,39.377,2.03
25:24.1,1440530724,4525.785355,7355.856957,39.379,2.35
25:24.1,1440530724,4525.785355,7355.856957,39.379,2.35
25:24.2,1440530724,4525.785372,7355.856905,39.378,2.71
25:24.2,1440530724,4525.785372,7355.856905,39.378,2.71
25:24.3,1440530724,4525.785372,7355.856905,39.378,2.71
25:24.3,1440530724,4525.785392,7355.856843,39.38,3.06
25:24.3,1440530724,4525.785392,7355.856843,39.38,3.06
25:24.4,1440530724,4525.785412,7355.856782,39.386,3.3
25:24.4,1440530724,4525.785412,7355.856782,39.386,3.3
25:24.5,1440530724,4525.785412,7355.856782,39.386,3.3
25:24.5,1440530725,4525.785436,7355.85671,39.388,3.64
25:24.5,1440530725,4525.785436,7355.85671,39.388,3.64
25:24.6,1440530725,4525.785458,7355.856633,39.392,3.97
25:24.6,1440530725,4525.785458,7355.856633,39.392,3.97
25:24.7,1440530725,4525.785458,7355.856633,39.392,3.97
25:24.7,1440530725,4525.785485,7355.856551,39.395,4.26
25:24.7,1440530725,4525.785485,7355.856551,39.395,4.26
25:24.8,1440530725,4525.785516,7355.856472,39.391,4.45
25:24.8,1440530725,4525.785516,7355.856472,39.391,4.45
25:24.9,1440530725,4525.785516,7355.856472,39.391,4.45
25:24.9,1440530725,4525.785548,7355.85638,39.391,4.75
25:24.9,1440530725,4525.785548,7355.85638,39.391,4.75
25:25.0,1440530725,4525.785579,7355.856293,39.397,4.86
25:25.0,1440530725,4525.785579,7355.856293,39.397,4.86
25:25.1,1440530725,4525.785579,7355.856293,39.397,4.86
25:25.1,1440530725,4525.785615,7355.856201,39.399,5.02
25:25.1,1440530725,4525.785615,7355.856201,39.399,5.02
25:25.2,1440530725,4525.785644,7355.856108,39.406,5.02
25:25.2,1440530725,4525.785644,7355.856108,39.406,5.09
25:25.3,1440530725,4525.785644,7355.856108,39.406,5.09
25:25.3,1440530725,4525.785676,7355.856014,39.413,5.11
25:25.3,1440530725,4525.785676,7355.856014,39.413,5.11
25:25.4,1440530725,4525.785699,7355.855923,39.411,4.96
25:25.4,1440530725,4525.785699,7355.855923,39.411,4.96
25:25.5,1440530725,4525.785699,7355.855923,39.411,4.96
25:25.5,1440530726,4525.785722,7355.855828,39.416,4.93
25:25.5,1440530726,4525.785722,7355.855828,39.416,4.93
25:25.6,1440530726,4525.785749,7355.855735,39.42,4.88
25:25.6,1440530726,4525.785749,7355.855735,39.42,4.88
25:25.7,1440530726,4525.785749,7355.855735,39.42,4.88
25:25.7,1440530726,4525.785774,7355.855641,39.424,4.82
25:25.7,1440530726,4525.785774,7355.855641,39.424,4.82
25:25.8,1440530726,4525.785802,7355.855546,39.428,4.82
25:25.8,1440530726,4525.785802,7355.855546,39.428,4.81
25:25.9,1440530726,4525.785802,7355.855546,39.428,4.81
25:25.9,1440530726,4525.785829,7355.855449,39.434,4.85
25:25.9,1440530726,4525.785829,7355.855449,39.434,4.85
25:26.0,1440530726,4525.785856,7355.855354,39.436,4.83
25:26.0,1440530726,4525.785856,7355.855354,39.436,4.83
25:26.1,1440530726,4525.785856,7355.855354,39.436,4.83
25:26.1,1440530726,4525.785884,7355.855258,39.44,4.84
25:26.1,1440530726,4525.785884,7355.855258,39.44,4.84
25:26.2,1440530726,4525.785919,7355.855171,39.441,4.74
25:26.2,1440530726,4525.785919,7355.855171,39.441,4.74
25:26.3,1440530726,4525.785919,7355.855171,39.441,4.74
25:26.3,1440530726,4525.785957,7355.855081,39.441,4.73
25:26.3,1440530726,4525.785957,7355.855081,39.441,4.73
25:26.4,1440530726,4525.785997,7355.854987,39.449,4.73
25:26.4,1440530726,4525.785997,7355.854987,39.449,4.9
25:26.5,1440530726,4525.785997,7355.854987,39.449,4.9
25:26.5,1440530727,4525.786042,7355.854896,39.45,5.01
25:26.5,1440530727,4525.786042,7355.854896,39.45,5.01
25:26.6,1440530727,4525.786081,7355.854802,39.454,5.12
25:26.6,1440530727,4525.786081,7355.854802,39.454,5.12
25:26.7,1440530727,4525.786081,7355.854802,39.454,5.12
25:26.7,1440530727,4525.786123,7355.854705,39.455,5.24
25:26.7,1440530727,4525.786123,7355.854705,39.455,5.24
25:26.8,1440530727,4525.786156,7355.854609,39.458,5.23
25:26.8,1440530727,4525.786156,7355.854609,39.458,5.23
25:26.9,1440530727,4525.786156,7355.854609,39.458,5.23
25:26.9,1440530727,4525.786189,7355.854507,39.464,5.29
25:26.9,1440530727,4525.786189,7355.854507,39.464,5.29
25:27.0,1440530727,4525.786216,7355.854403,39.472,5.29
25:27.0,1440530727,4525.786216,7355.854403,39.472,5.31
25:27.1,1440530727,4525.786216,7355.854403,39.472,5.31
25:27.1,1440530727,4525.786243,7355.854295,39.481,5.37
25:27.1,1440530727,4525.786243,7355.854295,39.481,5.37
25:27.2,1440530727,4525.786277,7355.854192,39.482,5.39
25:27.2,1440530727,4525.786277,7355.854192,39.482,5.39
25:27.3,1440530727,4525.786277,7355.854192,39.482,5.39
25:27.3,1440530727,4525.78631,7355.854084,39.487,5.47
25:27.3,1440530727,4525.78631,7355.854084,39.487,5.47
25:27.4,1440530727,4525.786347,7355.853973,39.491,5.62
25:27.4,1440530727,4525.786347,7355.853973,39.491,5.62
25:27.5,1440530727,4525.786347,7355.853973,39.491,5.62
25:27.5,1440530728,4525.786388,7355.853863,39.493,5.73
25:27.5,1440530728,4525.786388,7355.853863,39.493,5.73
25:27.6,1440530728,4525.786424,7355.853753,39.499,5.73
25:27.6,1440530728,4525.786424,7355.853753,39.499,5.76
25:27.7,1440530728,4525.786424,7355.853753,39.499,5.76
25:27.7,1440530728,4525.786464,7355.85364,39.502,5.85
25:27.7,1440530728,4525.786464,7355.85364,39.502,5.85
25:27.8,1440530728,4525.7865,7355.853533,39.505,5.77
25:27.8,1440530728,4525.7865,7355.853533,39.505,5.77
25:27.9,1440530728,4525.7865,7355.853533,39.505,5.77
25:27.9,1440530728,4525.786537,7355.853424,39.506,5.74
25:27.9,1440530728,4525.786537,7355.853424,39.506,5.74
25:28.0,1440530728,4525.786571,7355.85331,39.501,5.83
25:28.0,1440530728,4525.786571,7355.85331,39.501,5.83
25:28.1,1440530728,4525.786571,7355.85331,39.501,5.83
25:28.1,1440530728,4525.786608,7355.853195,39.504,5.87
25:28.1,1440530728,4525.786608,7355.853195,39.504,5.87
25:28.2,1440530728,4525.786642,7355.853079,39.515,5.87
25:28.2,1440530728,4525.786642,7355.853079,39.515,5.91
25:28.3,1440530728,4525.786642,7355.853079,39.515,5.91
25:28.3,1440530728,4525.786676,7355.852957,39.522,6.04
25:28.3,1440530728,4525.786676,7355.852957,39.522,6.04
25:28.4,1440530728,4525.786714,7355.85284,39.524,6.08
25:28.4,1440530728,4525.786714,7355.85284,39.524,6.08
25:28.5,1440530728,4525.786714,7355.85284,39.524,6.08
25:28.5,1440530729,4525.786752,7355.852722,39.529,6.09
25:28.5,1440530729,4525.786752,7355.852722,39.529,6.09
25:28.6,1440530729,4525.786788,7355.852612,39.53,5.94
25:28.6,1440530729,4525.786788,7355.852612,39.53,5.94
25:28.7,1440530729,4525.786788,7355.852612,39.53,5.94
25:28.7,1440530729,4525.78683,7355.8525,39.531,5.91
25:28.7,1440530729,4525.78683,7355.8525,39.531,5.91
25:28.8,1440530729,4525.78687,7355.852381,39.533,5.91
25:28.8,1440530729,4525.78687,7355.852381,39.533,6.02
25:28.9,1440530729,4525.78687,7355.852381,39.533,6.02
25:28.9,1440530729,4525.78691,7355.852265,39.534,6.03
25:28.9,1440530729,4525.78691,7355.852265,39.534,6.03
25:29.0,1440530729,4525.786947,7355.852141,39.539,6.18
25:29.0,1440530729,4525.786947,7355.852141,39.539,6.18
25:29.1,1440530729,4525.786947,7355.852141,39.539,6.18
25:29.1,1440530729,4525.786985,7355.852015,39.543,6.32
25:29.1,1440530729,4525.786985,7355.852015,39.543,6.32
25:29.2,1440530729,4525.787021,7355.851894,39.544,6.3
25:29.2,1440530729,4525.787021,7355.851894,39.544,6.3
25:29.3,1440530729,4525.787021,7355.851894,39.544,6.3
25:29.3,1440530729,4525.787056,7355.851765,39.548,6.41
25:29.3,1440530729,4525.787056,7355.851765,39.548,6.41
25:29.4,1440530729,4525.78709,7355.851642,39.551,6.38
25:29.4,1440530729,4525.78709,7355.851642,39.551,6.38
25:29.5,1440530729,4525.78709,7355.851642,39.551,6.38
25:29.5,1440530730,4525.787124,7355.851518,39.553,6.33
25:29.5,1440530730,4525.787124,7355.851518,39.553,6.33
25:29.6,1440530730,4525.787165,7355.851396,39.553,6.33
25:29.6,1440530730,4525.787165,7355.851396,39.553,6.33
25:29.7,1440530730,4525.787165,7355.851396,39.553,6.33
25:29.7,1440530730,4525.787208,7355.851272,39.554,6.35
25:29.7,1440530730,4525.787208,7355.851272,39.554,6.35
25:29.8,1440530730,4525.787248,7355.851151,39.558,6.31
25:29.8,1440530730,4525.787248,7355.851151,39.558,6.31
25:29.9,1440530730,4525.787248,7355.851151,39.558,6.31
25:29.9,1440530730,4525.787292,7355.851028,39.559,6.36
25:29.9,1440530730,4525.787292,7355.851028,39.559,6.36
25:30.0,1440530730,4525.787325,7355.850907,39.561,6.36
25:30.0,1440530730,4525.787325,7355.850907,39.561,6.26
25:30.1,1440530730,4525.787325,7355.850907,39.561,6.26
25:30.1,1440530730,4525.787359,7355.850785,39.563,6.18
25:30.1,1440530730,4525.787359,7355.850785,39.563,6.18
25:30.2,1440530730,4525.787397,7355.850663,39.562,6.18
25:30.2,1440530730,4525.787397,7355.850663,39.562,6.18
25:30.3,1440530730,4525.787397,7355.850663,39.562,6.18
25:30.3,1440530730,4525.78743,7355.850541,39.563,6.13
25:30.3,1440530730,4525.78743,7355.850541,39.563,6.13
25:30.4,1440530730,4525.787466,7355.850416,39.569,6.22
25:30.4,1440530730,4525.787466,7355.850416,39.569,6.22
25:30.5,1440530730,4525.787466,7355.850416,39.569,6.22
25:30.5,1440530731,4525.787507,7355.850289,39.571,6.31
